hư hại	破坏
thắt lưng	腰
cha mẹ	雙親
Nhân bản	分身
Leven	利文
Lăn	轧
Ngôn ngữ Minnan	闽南语
Gạ gẫm	招攬
Khu vực	大区
Hemingway	海明威
Hình thang	梯形
Phát triển, xây dựng	研製
Xô	扅
hình dạng	形狀
Thao tác	操控
Là để	是將
Nhu cầu	須要
một vài	几
Florida	佛罗里达
con bò cạp	蠆
Sulawes	苏拉威
Phong cách	作风
nhà tâm lý học	心理学家
thị trấn	鎮
Cho người thân	為親
Mạnh	强
Trang trí	饰
Làm việc cùng nhau	共事
chức năng	功用
Phi	投掷
Thông báo	公布
Trung đông	中東
Cử đi	出动
chung	联合
Khó khăn	難度
Xuân	眀
giản thể	簡體
hàng không	航空
Trụ sở chính	本部
Và đất nước	和國
Taxa	类群
bị cấm	被禁止
Nấm bột	粉菌
Mổ xẻ	析置
Vách đá	摩崖
Xung quanh	一帶
Chứng nhận	认证
khắc nghiệt	苛刻
Một lúc	一個位於
Chính quyền liên bang	聯邦政府
Hai	了兩
Gửi	傳送
Sự chuẩn bị	籌備
Tiềm năng	势
một số	些
bĩu môi	噘
Lời phàn nàn	投訴
Huấn luyện viên	主帅
Mọi người	子民
Đường đó	那样
Yun	筌
Hoàng tử	王子
Sasa	佐佐
Coban	科班
Chúa tể của những chiếc nhẫn	至尊魔戒
Xa lánh	淍
phóng viên	记者
Wen Zong	文宗
Lang	瑯
Nội Mông	内蒙古
Sự chậm trễ	延誤
Tròn	圓形
Hiện tại	現
Ngã xuống	脱落
Xếp hạng	評級
Công chức	公務員
Đang đến	是來
Sản phẩm	品
Đối với Chen	為陳
người phiên dịch	編譯器
Bà ấy	畲
Yuan Pei	元培
nhảy	跳躍
Thô	粗略
Lớp như	類為
dâu	草莓
Chính	大調
dựa theo	据
địa phương	當地
Độc lập	自立
Sau khi đặt	定後
R & D	研發
Dân gian	民系
cạnh	缘
Tráng miệng	甜品
Nepenthes	猪笼草
Người phát trực tiếp	流器
Thổi	打击
bảng	木板
Thịt	肉质
Chiếc cúp	奖杯
Bảng chữ cái Latinh	拉丁字母
Hội đồng quản trị của giáo dục	教委
Trục	軸線
Trước	历届
Thiên Hà	天河
nhà chứa	妓院
Bu	逋
Trẻ mới biết đi	幼儿
Cắt	割
Anh chàng Hong Kong	香港仔
Nhiên liệu hạt nhân	核燃料
Kỷ băng hà	冰期
Giữ	召开
Alishan	阿里山
Trùng hợp	吻合
cái nút	钮
Quân đội cho	軍為
Trên bàn	桌上
Ba	峇
Những giọt nước mắt	眼淚
Thương tiếc	儫
giàu có	富有
Bầu cử lại	改選
Và làm ơn	並請
quanh co	迆
tình cờ gặp nhau	遘
kiềm chế	羈
xây dựng	兴建
Missy	密西
Con vịt	鴨脷
Học hỏi từ	师从
Biên dịch	編譯
Ngựa hoàng gia	皇家馬
thông thường	常规
Chú ý	瞩目
Maher	马赫
tỷ lệ	速率
Phiên bản phim	電影版
Trung Mỹ	中美洲
Rau cần tây	芹
Tát	肎
Bình tĩnh	佐世
Đứng lên	厮
Lần như	次為
đá	巖
tươi	新鲜
quỷ lùn	侏儒
buổi sáng	上午
mũ sắt của lính	頭盔
cô đơn	孤獨
Chỉ có bấy nhiêu thôi	不了了之
quả hồng	柿
Ga đường bộ	路站
Vẽ tranh	劃
dịu dàng	紳
Phục hồi	休養
Nghiêm ngặt nhất	最嚴
hái	鎬
hàng	排
Mach lẻo	流言
Kos	科斯
Sau khi thành phố	市後
Định kỳ	周期性
Thu hồi	撤銷
cá tráp	鲂
tuân theo	坚持
Làm việc	上班
mua	購買
quả mọng	苺
Cơ thể chính	主体
Ulaanbaatar	乌兰巴托
Fei	霿
Tôpô	拓撲
Phát hành lại	續發
Câu cửa miệng	口碑
Yau Tsim Mong	油尖旺
Đền thờ công cộng	公祠
Vô điều kiện	無條件
nền tảng	基础
upbraid	吒
Tosca	托斯卡
Saint Ann	聖安
Chủ đề	纫
Kiểm tra	誧
tầm thường	平平
Shen	珅
Trói buộc	缚
Cây dương xỉ	蕨
Người theo chủ nghĩa riêng biệt	割据
Hoa màu trắng	白花
Nhà máy đường	糖廠
Triều đại Liêu	辽朝
gân	腱
thân cây	莖
tán thành	鉚
kính viễn vọng	望遠鏡
Đồng hành	同行
Wikipedia	基百科
Cám	布蘭
Quận và	區及
xuống dốc	下坡
khu vực hạn chế	禁區
Gấp đôi	孖
ám ảnh	出沒
Đại Hội Đồng Liên Hiệp Quốc	联大
lót	袷
Phép tính	计算
Trong phạm vi	範圍內
Thuộc tính	屬性
phỏng theo	適應
kim tự tháp	金字塔
Dơ bẩn	齪
Lộn nhào	逓
Người tự do	自由民
Sau khi hoàn thành	成後
chạy không tải	顢
sự phát minh	发明
Nhận định	识别
Chỉ có	僅有
Zoff	佐夫
dễ dàng	轻易
Còi	嗫
Quận trưởng	太守
điều chỉnh	调节
Thất vọng	失望
Quận Zhongzheng	中正區
Yi	旿
Kanagawa	神奈川
chính khách	政客
khuyến khích	提倡
Dài	昳
Bligh	布萊
Đầu tư vào	投入
Đang chuyển động	動中
Livan xin	橧求
bình quân đầu người	人均
Với ngựa	與馬
Sa thải	革職
Tuần tra	巡警
cá voi	鯨魚
tập trung	濃
Gan	肝脏
ngưỡng cửa	阈
Băng nhóm	墄
Năm ngôi sao	五星
Jian	臽
thân hình	身体
Phenylpropyl	苯丙
Ba tám	三八
nhu cầu	需要
Cám	布兰
trứng	卵子
Yi	濳
Anh hùng	海洛
Sau này trở thành	後成為
Nhô ra	突起
thực hành	做法
vận dụng	摛
Chua cay	茞
Luân phiên	互生
trang	頁面
Gợi lại	忆
Ger	热尔
Kui	鲿
Kiểm tra	會考
Li Zhuo	李卓
Da	妲
Xây dựng thành phố	建城
nhỏ hơn	更小
Tiếp cận	進場
Zhi	芷
hợp tác xã	合作社
sức mạnh	实力
Vita	維他
tiền tệ	幣
Đúng	在對
Sư Tử	利奥
Khuất Nguyên	屈原
Mông Cổ	蒙古国
Lễ	典禮
giải phóng	放出
bố trí	佈局
ánh sáng	燈光
khó khăn	韌
skiff	艑
Rơi vào	歸入
Có nguồn gốc từ	發源於
Quận tiểu bang	州郡
Cho cuối cùng	為終點
Khiêm tốn	謙
Ogg	奥格
Cúp Liên đoàn	聯賽盃
Trung tây	中西部
kêu vang	噠
táo	蘋果
Phúc châu	福州
Virginia	維吉尼亞
Có thể	得以
vượt qua	打通
Han	蟴
đang yêu	戀愛
Nâng cao	個進
Châu Âu	欧
Rong	瑢
Dro	德羅
Đá	磐
Rạp chiếu phim	電影院
Roe	獍
Một bên	一邊
Yu	燏
Quận Sài Gòn	西貢區
Jun Fei	軍飛
nghìn	仟
thoát khỏi	擺脫
Huang Qi	黄耆
Vicchi	維奇
Tối	傍晚
Khảo sát	考察
pháp luật	规律
Ma Shi	馬師
tuổi già	晚年
con lợn	豨
Quận Xicheng	西城区
khuếch tán	扩散
De	棑
Đốt sống đuôi	尾椎
nhiều	鬮
Dihua	迪化
Nâng cao	进发
bằng chân	徒步
mã hóa	加密
ngành công nghiệp	業界
Tìm kiếm	寻找
vẫn	依然
năm	年華
Richard	理查
Gạo nếp	馪
Đáp ứng	因應
lượng mưa	降水
thông minh	優良
Hai	兩顆
máy bay	刨
đặc biệt	特
Không bật	午
Vì điều đó	為該
Somalia	索马里
giao thức	協議
tính thẩm mỹ	美學
Sali	萨利
Ernst	恩斯特
Tráng lệ	宏伟
xưởng đóng tàu	船廠
Paraguay	巴拉圭
khí hóa	气化
lo lắng	忑
Zong	粽
Nấu nướng	炊
Seoul	漢城
canh	翅膀
ứng dụng	應用
Hấp phụ	吸附
Bởi	的經
tên nick	外號
Ở phía Đông	在東
Kênh	竄
cha truyền con nối	世襲
Dòng dõi	血统
Trang thiết bị	裝備
Tìm kiếm sự thật	求是
Hun	蘤
lao động	勞工
giao nhau	相交
Vượt qua	十字會
Sự thanh bình	和平
trưng bày	顯示
Sữa	奶
Nhọt	疖
Không đời nào	無從
Yi	仱
Arnold	阿诺
nói chuyện	谈
sự sụp đổ	垮
Cắt	掍
Thị trấn nhỏ	小鎮
Sẽ làm	會使
Tuo	庹
Lo lắng	忪
thủy triều	潮汐
Triều đình nhà Thanh	清廷
Ngôi sao	球星
qua nhiều năm	歷年
Gangneung	江陵
Kez	克孜
Trục xuất	开除
Lý do	原由
Hồi tưởng	溯
Prince Consort	驸
Gibraltar	直布罗陀
Thủ đô	京城
Wilder	野手
Nổi dậy	叛乱
che	罩
Chi nhánh	分部
thí dụ	例子
Châu Á	阿仙
cờ vua	棋
đang có một	有個
Ma quỷ	衛門
Kho báu	寶藏
Cuốn sách lịch sử	史书
sự xâm nhập	侵擾
cốc	盅
Chơi	出賽
được bổ nhiệm làm	任命为
Phương pháp lớp	類法
Kerry	克里
Wenwang	聞網
Vòng loại trực tiếp	後賽
Người	事人
Nói dối	謮
Gấp đôi	雙人
cây	厂
Xây dựng	建置
Zhiming	志明
Georgia	喬治亞
nói	說話
Zhu	麄
Phù sa	沖積
Ya	垭
nói nhảm	喋
Liên đoàn thanh niên	青年团
Hu	籥
mặn	鹹
Enthalpy	愓
tuổi	嵗
Nâng cao	進階
Tên này	這名
Thị trấn sông	河镇
khoảng cách	距離
Dành cho bốn	為四
hân hoan	慆
Ngọc bích	敡
giao thức	协议
heo vòi	獏
có thị lực kém	眊
Độ lệch tâm	離心率
Trả	讵
Fei	扉
Vợ lẽ hoàng gia	貴妃
Cuối cùng	終在
Xuân	庋
Đạo văn	抄襲
Lớn	一個大
mềm mại	軟
Mọi người	人家
giống nhau	相同
lớp học	阶级
Mía	卡内
mệnh giá	面值
sự hoang mang	混亂
Lập trình	编程
cồng	锣
Luôn luôn	一律
Shilesu	石勒苏
Hướng tới	朝向
mẫu	圖案
có lãi	利多
đối ngoại	外事
Cơ thể như	體為
Gia Hưng	嘉兴
trước đây	早先
Bian	垍
Du lịch	遊客
Mi	糜
Fu Li	傅里
Người dẫn chương trình	司儀
Steroid	類固醇
Ka	喀
Yuen Long	元朗
trở về	返回
Bãi bỏ	廢止
luật sư	律师
trong khu vực	區域內
bắt đầu	开端
Cái đầu	儡
Chung	将军
sử gia	史学家
Phá vỡ	摜
kho bạc	帑
một phần ba	三分之一
khác biệt	分明
rắc	灑
điềm tĩnh	平息
Haiti	海地
Đường biển	海道
Colorado	科羅拉多
chuỗi	鍊
Dòng người	人流
hiệu trưởng	校長
Thiết lập	開辦
Làm phiền	擾
Huang Yumin	黃毓民
tăng lên	上漲
Cũng không	亦不
Không đời nào	绝不
Quyên góp	捐贈
Theo dõi	軌跡
Phim ảnh	底片
Xueyou	學友
Rein	韁
Đừng đặt	別設
Chính xác như	酷似
Mục tiêu	靶
Quận Heping	和平区
Sườn núi	山腰
đá	岩
Keli	克力
Các công ty nước ngoài	洋行
bệnh đậu mùa	痘
Kiên quyết	坚决
Wadi	瓦迪
Xuồng ba lá	小艇
Routh	劳斯
Chết	恮
Ám sát	刺杀
Sinh	胞胎
Đưa cho	讓給
Qi	俓
Phát triển, xây dựng	研制
ngột ngạt	闷
Khó xử	倻
Chu	蜛
xương bàn đạp	鐙
Thiên nhiên	本質
Bắt chước	仿效
Smash	粉碎
Tương đối	较为
Qi	戚
một mình	独自
kiêu ngạo	驕
Thư ký	秘书
Sân trong	天井
Sâu tai	蠼
Nơi đo	該地
thương vong	伤亡
Tải xuống	下載
Nhiều	繁多
Một trăm ngàn	十万
Mờ nhạt	慩
có	拥有
Robert	羅拔
Thổ dân	原住民
Người nuôi dưỡng	福斯特
triết học	哲学系
Malaya	马来亚
bồi thẩm đoàn	陪审团
Aisne	埃纳省
tu sĩ	僧侶
Trong tiến trình	在進
bong bóng bơi	鰾
ruột	肠
rhodium	銠
mực	墨
cây sồi	棫
ngoại quốc	国外
Điều đáng tiếc	惜
Loot	利品
Trục xuất	驱逐
Chữa lành	瘉
công bằng	相等
Làng hành chính	行政村
Răng nanh	馞
Giang Thanh	江青
Đột ngột	嶆
Holstein	荷尔斯泰因
Học cấp độ	級學
Quân đội Nhật Bản	日军
Kenya	肯尼亚
thường xuyên	常常
Phiếu bầu	票數
Dọn dẹp	清理
Yi	辒
xấp xỉ	约
Đầu hàng	自首
Tổng quát hóa	廣義
xuất hiện	外貌
Hay bông lơn	鍥
Tao	燾
lò phản ứng hạt nhân	核反应堆
Trung Quốc	中國國
Bướng bỉnh	鋀
cây búa	錘
Chói mắt	炫
Sachsen	萨克森州
Mohe	靺鞨
Hiến pháp quốc gia	國憲
hình ba chiều	全息
Nai	凪
Đột ngột	齏
liên minh	聯盟
trường hợp	案子
Tỉ lệ sinh	出生率
Cong	琮
Tiểu sử	列傳
Các thế hệ	代代
Vùng biên giới	边疆区
Dưỡng dục	培育
Yu	媥
cục an ninh công cộng	公安局
sinh viên	學生
dựa vào	賴
ngành công nghiệp	業
héo	萎
Đỉnh chính	主峰
Ngày hôm đó	当天
Kai	鴔
Hàng chục	几十
Bule	布列
Qi	蘐
Tây An	熑
Bị liên lụy	捲入
Zhuangzi	庄子
tai	耳朵
Lai	霦
quý giá	寶貴
Huang Yu	黃毓
thuốc phiện	鸦片
cho phép	允許
chải	刷
Vận chuyển	載機
Hai ngàn	二千
Sọc	斑紋
Salamanca	萨拉曼卡
xà gồ	檁
năng khiếu	才子
có thai	孕
chất thải	浪费
Tờ báo	该报
Jingsheng	景勝
Weiguo	衛國
chủ nghĩa hiện đại	現代主義
Những quả bóng	個球
Sự sỉ nhục	唂
hình thức	结成
Khoa học viễn tưởng	科幻
Đưa cho	送給
Điểm nóng	热点
Giết chết	弒
Trường nổi tiếng	名校
Nghi can	嫌疑
Hiển thị cho	展到
đông bắc	東北部
Tôi	朕
Nhát	詥
Sri Lanka	斯聯
Watson	沃森
acmite	鉥
Hùng Hom	紅磡
câu lạc bộ	俱樂
Tây Bắc	西北方
Yong	埘
khách sạn lớn	大酒店
Máy bay quân sự	军机
chơi	戏
Km	公里
Trước mặt	鋒
đổ nát	隤
Giải thích	交代
Tịch thu	沒收
phi tiêu	摅
Về mặt	來講
hình trái xoan	椭
hỏi	问
Ashina	阿史那
Syria	敘利亞
la Mã	羅馬
Chú ý	留意
Chúa tể	勋爵
Học bổng	學金
Basti	巴斯蒂
di chuyển	搬迁
hiển nhiên	明显
Mời	引人
McDonald	麦当
qui định	统治
Đến như	來作為
lễ Phục sinh	復活節
mặt khác	对方
khuỷu tay	肘
tải lên	上載
phần cứng	硬件
Tuyên bố	的說法
sự phân giải	决议
Nhóm thành viên	員組
Cấp thành phố	市级
đồng hành	侶
Nổi bật	出众
Trái đất	大地
kết thúc	結局
Yin Ke	寅恪
Byzantium	拜占庭
Fati	法蒂
nhà tù	狱
Tiết kiệm	歂
thịt cừu	膍
phân phối	分發
Zhu	栘
Tát	櫐
Trẻ	孅
tiêu đề	标题
đồng âm	谐音
Ngôi sao năm cánh	五角星
Trong xe	車內
Thời gian	時所
tia lửa	火花
Nhanh	斯威夫特
Fran	弗蘭
Năm thời gian	時年
Bảo vệ	侍卫
nhìn chằm chằm	瞪
thậm chí nếu	即使
khẩn cấp	緊急
cái đe	砧
Đảng nhân dân	人民黨
Nobita	大雄
xiên que	丳
ngốc nghếch	愚
Động vật giáp xác	鲸鱼座
Tài nguyên tham khảo	參考資
lồng	櫳
Thầy tu	教士
Vi phạm	睽違
Thờ cúng tổ tiên	祭祖
Ngốc nghếch	螱
không cần thiết	未必
Kết hôn	下嫁
Mười nghìn tệ	萬元
Hệ thống sông	河系
Năm ngàn	五千
Quan	蒑
Học hỏi	習
căng thẳng	张力
franxi	鈁
Niêm phong	加封
Cho phép	可讓
Cô đơn	滃
Bách Tế	百濟
Vạn lý trường thành	長城
Bản sửa đổi	修订
mập	脂肪
Ju Li	句麗
Li	蠮
sai	讹
thủ tục	手續
dựa theo	根據
Đã vẽ	德鲁
Quân đội tiền phương	方面军
dừng lại	罷
ngoại quốc	对外
Lan Châu	兰州
trái cây	水果
CD	光碟
Sự chiếm đoạt	撥款
Indonesia	印尼
Âm	褺
Cướp biển	盗
Habu	哈布
một cửa hàng thức ăn nhanh	快餐店
Hum	奨
đà điểu	鴕
Dongcheng	东城
Suy sụp	旣
Rời khỏi	离去
Gia ban	售价
Yong	颕
thời gian này	這次
Võ thuật	武林
tàu ngầm	潜艇
Ziwen	子文
sẵn lòng	願意
Wemb	溫布
thu hoạch trong vụ thu hoạch	穡
Đánh con chó	打狗
Xiao	滭
sưu tầm	收集
Với Hồng Kông	與香港
Khờ dại	癡
nồi	鍋
Một năm	一年
Yan Qi	焉耆
gần đây	近日
nghiêng	傾斜
Năm	年代
Ác quỉ	惡靈
Cha-con	親子
Yongqing	永清
mồ hôi	汗
Thrush	菥
chôn	瘗
điện cực	电极
Li	楽
Yu	剠
thuyền	舟
Gandhi	甘地
nước lạnh	冷水
Viên thuốc	碉
Sẽ	便將
Lo	担忧
thực ra	其時
phiền muộn	瘼
nhãn hiệu	牌子
Thời gian đã trôi qua	時已
Chân dung	刻画
Sau	後於
Quyết định	決定將
Dưới	之下
Vít đường ống	管螺
bưu thiếp	明信片
bằng phẳng	平板
hồi ký	自传
Chu	轔
định dạng	格式
Nếu trong	若在
Gia hạn	熱內
Đến	前來
Jianguo	建國
Chế nhạo	譏
Phòng cháy	防火
Cũng cho	亦作
Huyện Vân Lâm	雲林縣
Thị trấn mới	新市鎮
Âm	镾
Rỉ sét	窆
Tỉnh	省立
Dang	筜
chào mừng	歡迎
Thế hệ trước	前代
thêm vào	加法
La mắng	詘
Chu	莬
gia tài	遺產
sự ô nhiễm	汙染
Xếp hạng	名次
Liuhe	六合
Yell	呑
Đế chế Mông Cổ	蒙古帝国
Thân thịt	胴
Mỏ than	煤矿
chì	带领
Chúa tể	爷
Phong cách	風貌
Yi Fu	逸夫
Đúng cái này	對這
dự trữ	儲
du thuyền	巡航
Hơn	較於
con rận	虱
Hay bông lơn	瓦格
Nibble	鎡
Provence	普罗旺斯
hẹp	窄
nhân học	人类学
Shu	涭
Rơi xuống đất	倒地
Chức vụ	之職
dự định	打算
Trưởng	事長
Khoa Lịch sử	历史系
hệ thống	制度
Trong đám mây	云中
vạch sọc	条纹
Đầu tiên với	先用
Vượt qua	通行
Khởi đầu năm mới	年初
huyết thanh	血清
Sẽ	威尔
Ngôi sao	神星
Như nhau	均匀
cần sa	大麻
Trận đấu cấp độ	級賽
đó là	即
Cát	金沙
chặt	剁
Tách rời	分设
Trung bình	中型
Thành phố Tân Trúc	新竹市
Jiao	娇
kích thước	维
Một phát	阿方
cố gắng	企图
ATV	亞視
Jue	玦
Núi màu tím	紫金山
nguyên chất	粹
Dao	刀
Tai Po	大埔
Vì điều đó	於該
Đài	無線電
Sáu	六個
phương tiện truyền thông	媒體
Đột ngột	頓時
Nhà điều hành	业者
Tỉnh	县内
Thân hình	身上
Tiết kiệm	攢
Hàm dưới	下頜
Bavaria	巴伐利亚
mong	希望
Kai	垲
Vắt kiệt	扊
Sư đoàn	赛区
vũ trụ	宙
xung quanh	围绕
đơn vị	單元
Gusset	衽
Cứu quốc gia	救国
Mại dâm	娼
Nói đùa	戏称
như là	這樣
Quyền hạn	列強
Thành phố New York	纽约市
Biên đạo múa	編排
chân thật	善意
giới trẻ	青年人
sự giống nhau	類推
bóng chày	蟀
mật khẩu	密碼
trở lại	背面
Dài	陇
dưới lòng đất	窅
Chết	離世
nổi bật	顯赫
Cuốn sách này	這本書
phẫn nộ	怨恨
Dùng cái này	用此
Jianping	建平
Chụp	枪击
biên giới	邊境
Amaterasu	天照
yêu nước	愛國
nhu cầu	需求
Dân bang	州人
Trạm năng lượng	电站
Tám	八
Ishida	石田
lít	公升
ở gần	靠近
Phô mai	之士
Nghe nhìn	音像
cho thuê	租赁
Giải phóng	下達
tên nick	諢
Mộ	墓葬
Tuyên chiến	宣戰
hàn xì	焊接
Tiêu đề	題為
Tấn công	襲擊
tầm cỡ	口径
Đấu thầu	申办
Tát	梫
Trong những trường hợp	況下
henbane	菪
Mặt riêng	己方
Than khóc	嗷
Liang Wang	梁王
Cree	克雷
sự hợp nhất	兼并
Shi nói	時說
Máy vi tính	微机
Không thiếu	不乏
Nói chuyện	誾
Saki	崎
Mở lại	重開
Bò sát	爬行动物
cây gai dầu	縕
Cản trở	阻挠
lưng	鬐
Công	有功
Đã vẽ	德魯
côn trùng	蟲
có lẽ	大概
thương hiệu mới	全新
Jiazi	甲子
Sự chinh phục	征讨
Wiki	維基
Con gà trống	屾
Chống lại	兑
Giao hưởng	交响
Nhỏ	斯摩
Phục vụ như	充任
liên hiệp	聯
Ulva	莼
Enlai	恩來
chim ưng biển	鶚
Và tiếp tục	並繼續
Âm	琔
Tròn	圆形
Cứu giúp	助
hội,, tổ hợp	集会
rẻ	廉價
Quận Sha Tin	沙田區
lực lượng	迫使
Newton	牛頓
Tăng và giảm	得失
Tiểu bang	州州
Trở lại	背
rut	辙
diệc	鷺
Quần áo	衣物
Bị cáo buộc	據稱
nghiện	癖
Thames	泰晤士河
Mưu mẹo	威特
Ding	叮
Nội thành	内城
điền kinh	田径
cây thạch thảo	希斯
thương mại	通商
trong	於
Tang	賅
Lộn nhào	挓
cửa hàng bách hóa	百货
Chi	栨
ở trên	以上
Lịch sử	沿革
mộc qua	柤
Yas	亚斯
Cố gắng hết sức	極力
Nghẹn ngào	兣
Cơ giới hóa	机械化
Cannonball	炮彈
chất rắn	固體
Stie	施蒂
Cho dù	為連
Johor	柔佛
chiến tranh	戰爭
Ribas	里巴斯
Bagh	巴格
Quốc gia	國家
Frey	弗雷
Dai	埣
Khả năng sử dụng	用性
Phiên bản	实例
hàng	線路
Kilôgam	公斤
nô lệ	奴隸
cổ điển	經典
Đứng trên	台於
kéo	輓
Vĩnh Xuân	永春
nhà thầu	承包商
Li	溤
tư thế	姿势
buổi hòa nhạc	音乐会
Leng	楞
Nhát	靦
cuộc khủng hoảng	危机
giải quyết	沉降
Ya	虡
trang điểm	彌補
赙	賻
Tên thật	現名
Itabashi	板桥
Khúm núm	跜
NMR	核磁共振
Kun	坤
Kyoto	京都
Thành viên tại	員於
cánh tay	武器
Gandalf	甘道夫
lanh	絺
xương sườn	肋
Khuôn	模具
La	喇
nịnh nọt	谄
tiết kiệm	節省
Nói chung	一般而言
Li	俍
Yuwen	宇文
Vôi	石灰
Đổi tên	易名
Gạo nếp	糉
Wei	贑
Khen ngợi	讚譽
Cái này	這張
từ điển	字典
Tích cực	阳性
nhóm	群体
vui mừng	愉快
nhầm lẫn	迷惑
Chu	葅
Huguang	湖广
tủy	髓
Đầu tiên	首任
lá cờ trắng	白旗
Trevally	鰺
Ding Wei	丁未
Năng lượng Hidro	水能
hội,, tổ hợp	装配
hợp đồng	協定
Thu hút	引来
không ổn định	憧
nhà thờ Hồi giáo	清真寺
Nói lại	重演
Delineate	划定
Taishi	太史
Marseille	馬賽
tấm màn	幃
nhà soạn nhạc	作曲家
Tal	塔尔
lễ kỷ niệm	慶典
Abdul	阿都
ăn	吃饭
Khắc đá	石刻
truy cập	访问
chuyên dụng	专用
Kuma	隈
Zeng Guofan	曾国藩
Fives	五
viết kịch bản	撙
dấu vết	蹟
Hu Yaobang	胡耀邦
tre dài	籊
Đưa vào	普顿
Illevillene	伊勒维莱讷省
sức chịu đựng	耐力
Tiếp cận	伸出
Chỉ	覽會
Tuyển dụng	新兵
Cáo buộc	指控
Rael	雷尔
Cá vây	鰭魚綱
Dậm chân	跘
Nổi tiếng	为人知
Bị bỏ rơi	遺棄
Di	荻
phóng uế	屙
Nắm quyền	执政
Hàng trăm	數百
Sam	山姆
Bose	玻色
chờ đợi	等待
Như là	此等
Âm nhạc	乐曲
kiện tụng	訴訟
Thanh toán	清算
Công giáo	天主教徒
giác ngộ	教化
dày	厚
Nguyễn phúc anh	阮福映
Porter	波特
trực tiếp	生息
Gọi là	称作
Gọi chung	合稱
cá thu	鯖
đảo chính	政變
Âm	騱
Bò rừng	野牛
Hợp lý	邏輯
Hồng Lâu Mộng	红楼梦
không khí	風氣
Chương trình đa dạng	综艺
Pavilion	館
Tát	攗
Quốc gia	全國性
tòa ánTát	球場剌
Vật lý và hóa học	理化
tranh tường	壁画
Thành lập	创办
nhìn trộm	窺
Khẩu súng	該槍
sự sụp đổ	倒台
khuyến khích	推动
tươi	尟
Nanyang	南阳
Chỉ huy	統領
Cháo	粥
ý tưởng	意念
vồ lấy	抢
Latvia	拉脫維亞
Ở đâu	所處
lợi nhuận gộp	毛利
khó chịu	镦
Nhặt lên	揼
Đài truyền hình	电视台
Sự cấu thành	選區
Tưởng tượng	虛
Bộ điều khiển	控器
khóc	啼
đồng hồ mặt trời	晷
Đến	前来
không phải	未
Cách mạng Mỹ	美國獨立戰爭
Không	中沒
Linden	椴
Ngực trần	裸胸
phanh	軔
thủ môn	守門員
Yên tĩnh	蝂
Polymerase	聚合酶
Yi	伓
Dọn phòng	內務
văn bia	墓志铭
Thoải mái	舒适
tiếng Đức	德語
Luo	濼
Đường nhánh	支路
sinh học	生物
bão táp	風暴
Lăn	軋
Đến Đài Loan	來台
dưới lòng đất	地下
chuyển khoản	轉讓
Kant	康德
Cây giống	子植物
Bún	諽
Có lẽ	也許
sự hiểu lầm	誤會
Cả hai mặt	两侧
Thủ môn	门将
Bực bội	旄
Hán Việt	汉语拼音
mạnh	酽
kết thúc	终点
Xấu hổ	襾
sau	以后
Để hiểu	瞭解
Trang web thành phố	城址
Đãi	救治
Jianhua	建华
điện	電氣
bàn phím	键盘
Kích thích	激怒
đây là	此為
Thuyết phục	深信
Dài	梴
đặt xuống	撂
mỏ dầu	油田
gấu trúc	熊猫
Lực lượng liên minh	聯軍
pháp luật	規律
Hát	檮
Thành phố Cáp Nhĩ Tân	哈尔滨市
Shikai	世凯
Wenlian	文联
Ghi lại	记载
Chủng loại thực vật	植物种
Tình yêu	阿摩尔
antimon	銻
Bằng tiến sĩ	博士
Hướng tới	走向
Du thuyền	巡洋
Lớp thứ ba	三等
Sử dụng nước	用水
Trợ giảng	助教
Tây An	胇
Nước thải	汙
chủ đề	題材
đông bắc	东北
Ganquan	甘泉
con muỗi	蚊
Với cái này	與這
Không biết	不知
Kea	基亚
Nhãn hiệu	品牌
Zang	臵
Ông chủ	头目
Gợi lại	召回
Yu	勮
Tham khảo ý kiến	咨
Vancouver	溫哥華
Băng qua	道口
thắng lợi	贏
Kể từ	截至
Giám đốc	處長
mạng lưới	網路
Ô tô và	車與
Thanh Đảo	青島
Không cho phép	不许
Tòa án Công khai	开庭
súng	炮
Chome	丁目
Chiều cao tháp	塔高
Trường hợp này	這種
Belarus	白俄羅斯
xấu hổ	恥
Số Pi	郫
hướng dẫn	归纳
rồng bay	螣
râu	耏
Tong	侚
gốc	來歷
Mẹ chồng	婥
cuốc đất	鋤
Khởi đầu	开局
cười	嘻
Đầu tiên bởi	先由
Nặng	重型
Xe Jeep	吉普
Cánh đồng	菲爾德
chung	將領
Levy	从征
đo lường	测度
Trân trọng	謹
Haidong	海东
Gu	辜
Và có	並擁
Tsuen	荃
Khai mạc	開口
Liên Xô	蘇聯
móng tay	钉
bào tử	孢
Covet	觬
Vợ lẽ	妏
Định lượng	數量
Người già	的舊
Li	俌
ngoài ra	除此之外
Tro núi lửa	火山灰
Chú	舅
Gạ gẫm	征集
Quán ba	杠
Bộ truyền động	动器
Ở ngoài	外側
Xinhai	新海
thần thoại	神话
Bên Yu	黨於
đường	途径
chiếm lấy	擒
Chiến tranh quân sự	軍戰
Nuôi	滋
Quảng trường	廣場
Bưu điện	邮局
Môi trường sống	栖息地
ắc quy	電池
gì	甚麼
Thời Đông Hán	东汉
cây ô rô	冬青
Natri	酸钠
Japonica	稉
Tầm quan trọng	星等
Hitter	打者
Colorado	科罗拉多
Người Thổ Nhĩ Kỳ	土耳其人
Dương	漾
