Lụa	絹
uy tín	誉
Moldova	摩尔多瓦
cây kéo	翦
Ngoan đạo	虔诚
ổn định	穩固
Nhóm công nghiệp	工团
Phát hiện	探測
Xà gồ	骩
Columbus	哥伦布
Sinici hóa	漢化
giam giữ	拘留
Wei	沩
sử dụng	用途
Sự phẫn nộ	愾
liên quan	牽涉
Lai	賚
ngây thơ	幼稚
hữu nghị	誼賽
Giành được	榮獲
Jianyang	建阳
Erqi	二七
Hakodate	函館
ống khói	囪
Genji	源氏
Buồn bã	蕦
Nam Kinh	南京
khoa học	科学
Pegasus	飛馬
Dưới	於下
lên đường	出发
Sức mạnh chiến đấu	戰力
Tụ điện	電容器
Đặt hàng	咐
Rayleigh	瑞利
Zygomatic	顴
Campuchia	柬埔寨
Cờ vua	棋士
Tỉnh này	本省
Xoay	轉彎
Sự thay đổi	的變化
Hyde	海德
Orton	歐頓
sưng gan	痞
Kinki	近畿
Án Lệnh	法令
Không có gì	毫不
tình trạng	况
Bị trục xuất	被逐
Hàng ngàn	数千
Tấn	荀
Giường	床
Tăng sản	增生
Sau khi thành lập	成立後
cây gai dầu	麻
Kinh phí	資助
nạn đói	饑荒
Thích hợp	小生
Harris	哈里斯
Tuen Mun	屯門
bom	炸彈
không thay đổi	常數
Zolo	佐洛
Dell	戴尔
Vòi sen	淋
Đốt phá	縱火
Giáng sinh	圣诞
Nott	諾特
Lính cứu hỏa	消防員
kinh nghiệm	經驗
Ahma	艾哈邁
Hoa hồng	薔
sập	滿貫
Bất tận	不絕
Argentina	阿根廷
Như	阿斯
Qi	虴
Âm	鞌
vì thế	故
Nhưng vẫn	但還
đê	圩
Dịch cúm gia cầm	禽流感
dự trữ	储
Đặt trước	預設
Giám đốc	處處長
thịt bò	牛肉
không nghi ngờ gì nữa	無疑
Dụng cụ	文書
Dây nhau	和弦
Ming Shenzong	明神宗
Nằm xuống	打下
Pingcheng	平城
quang điện	光电
Sau đó	則為
Tăng lên	升
Gle	格莱
Thây như	看做
nhà chế tạo	生产商
ngoại quốc	國外
Chính kịch	線劇
phía đông	以东
Nhìn chằm chằm	鷃
sảnh chính	正殿
Số năm	伍
bất ngờ	傥
Tỉnh	縣內
thay thế	反而
dây đai	縚
Cảnh báo	儆
thắt lại	戔
cầu trượt	滑行
Corona	日冕
Bắt đầu phát sóng	开播
khí tự nhiên	天然气
Kẹo cao su	齦
tiểu đoàn trưởng	营长
cá chép bạc	鮒
Gangue	矸
Trở về nhà	回国
Yunshan	云山
phần bổ sung	补充
Ghi chú	笺
Dự luật	命题
Nam Tân Cương	南疆
Shi	轘
Tinh ranh	迪克
Máy chém	鍘
đau	傷害
hiên nhà	廡
Shu	譮
Yêu tinh	精灵
Góc đầu	頭角
Khó hơn	哈德
Đội thắng	隊贏
em gái	妹妹
Bắt đầu làm việc	動工
người Trung Quốc	中華民
Dưới nước	水中
Quận Sham Shui Po	深水埗區
Everbright	光大
Tuyệt quá	好
trưởng khoa	院長
Yếu	微弱
Cái đó	那个
con rết	蜈蚣
Kinh khủng	悰
ý định	意图
Oh	噢
Tàn phá	祘
John	若望
Wan	涺
Những người này	這些
Wei	蔚
Động vật ăn thịt	掠食者
đổ	傾
Một lượng nhỏ	少量
vây quanh	環繞
Phối hợp	合組
Vết trầy	攋
ở gần	近乎
San Di	圣迪
Hai phần ba	三分之二
Vách đá	厓
Kỹ thuật	術
Oran	奧蘭
Angola	安哥拉
Ảnh hưởng	影响力
Đinh ốc	螺絲
Fei	菲
lưỡi	舌
Sẽ hai	將兩
Yan	昅
Địa chất học	地質
Bước xuống	卸任
khóc	哭
Làm ra tiền	賺錢
Kéo vào	拉在
đàn bà	女人
Chi	唧
Channa	鳢
Cứu hộ	救護
Aron	阿隆
Chạm khắc gỗ	木雕
chủ tịch	會長
sau đó	當時
Braun	百灵
Quả bom hạt nhân	核弹
ý chính	大意
Jinshi	金石
Tường thành	城牆
Các vị thần	神靈
hình minh họa	插畫
Giết chết	殺戮
Và số	與數
Tương tự với	類似於
Giảm nhẹ	減輕
sự suy luận	推論
Kim Môn	金門
Kế sinh nhai	維生
Thứ sáu	周五
hiểu biết	明白
Thẩm quyền	权限
Hai bên	兩黨
Từ	自於
cây kế	蓟
Sâu	蚍
hình như	似乎
gừng	姜
Điều hành	经营
Khuôn mẫu	定型
Trọng lượng phân tử	分子量
thư pháp	書法
Kính hiển vi	顯微
Văn hóa phụ	次文化
Lai Chi Kok	荔枝角
Quyền hạn	辖
vườn cây ăn quả	果园
con linh dương	羚
Hiện ra	浮現
Vui mừng khôn xiết	大喜
Vũng nước	水坑
Meni	梅尼
Ban giám đốc	董事会
Tuyên bố chung	聯合聲明
Người nói chuyệnTô Châu	說家苏州
Ủng hộ	利于
Thủy quân lục chiến	陸戰隊
Con chuột	拉特
Kinh bạc	銀經
tuabin	渦輪
Treo	紘
Phần lớn	大半
xác định	立志
Triều đại Tây Tấn	西晉
Luật cơ bản	基本法
khu vực đó	該地區
Amsterdam	阿姆斯特丹
Tesla	特斯拉
gọi	通话
Tình hình	情境
Cơ thể chính	主體
sườn đồi	山坡
sau	经过
Bão táp	風波
Thiên niên kỷ	千禧
đóng	緊密
xa xôi	遥远
Dồi dào	豐
nghề thêu	黹
Chiếc phà	渡輪
Frigate	衛艦
Dương	泃
Có thể điều hướng	通航
Biến đổi	转化
Chuyến trở về	回程
Ou	謳
thợ làm bánh	贝克
thông thoáng	明确
màng	膜
dịch	翻譯
Dung	蜣
krypton	氪
không phải	並不
Thời gian trôi đi	时隔
Xảy ra trong	發生於
Làm mờ	調景
Cựu chiến binh	獣
nổi danh	聞名
ấm đun nước	釜
Gen	艮
Xie Changting	謝長廷
Thánh	為聖
Số Pi	邠
Sức mạnh	力於
Tilia	椫
đối kháng	拮
Công việc trước	前作
Quyên góp	捐赠
Chì	率领
trọng tài	仲裁
Làm gián đoạn	中断
Nghiêm nghị	艉
từ	从中
Utricularia	狸藻
Công chức	公务员
Meng	勐
Nước làm mát	水冷
Bao vây	围困
Bang	捜
toàn cảnh	全景
Madrid	马德里
vội vàng	急忙
Đội người	人隊
Deman	德曼
Charles V	查理五世
Hở	欸
Tình trạng khó xử	困境
Thảo luận	議事
Klee	克莉
kế sinh nhai	生計
âm lượng	音量
Họ Leguminosae	豆科
Băng tuyết	冰雪
đơn giản hóa	简化
quá trình của	的過程
Winnie	威尼
gặp	晤
Nhược điểm	弊端
nhưng	可是
Sky Eagle	天鷹
Alex	亞歷
Che	輋
nẹp	梏
Cuộn	羅爾
chung	一般
Đội dự bị	預備隊
Gạo nếp	餈
Gà lôi	雉
Yêu và quý	的愛
Phát triển đến	長及
Nàng tiên	妖精
Ở giữa	舉中
hướng Tây	向西
Qichao	啟超
Nghệ thuật nữ	女藝
Si	譞
Ba vương quốc	三國志
Kang Youwei	康有为
Phòng bên	側室
tương đương	等價
Montpellier	蒙彼
Bang	哐
ấp ủ	孵化
ngư lôi	魚雷
quy ước	公約
Nói lại	重覆
Bart	巴特
đồng hành	侣
nhón	掐
Cháu trai	侄子
có khả năng	能力
dài hạn	常驻
Ordos	鄂尔多斯
Pan	蘩
Cambridge	劍橋
Baghdad	巴格达
Rick	里克
Warsaw	华沙
Phòng ban	学系
Phun	噖
Tâm thần phân liệt	分裂症
Tăng	嗢
Peng	鹏
Trưởng nhóm	隊總
đứa bé	寶貝
Đặc trưng	特点
tầm nhìn	眼光
Thắt nút	結
Fanling	粉嶺
Mỗi	每个
Jizhou	冀州
Hướng ngoaị	传出
Berkelium	锫
nội địa	內陸
Chim săn mồi	鷙
Xing	兴
Kuniko	国子
lấy trộm	窃
Cai trị đất nước	治国
Học	學業
ký tên	籤
Di	迪
Thực hành	修行
Đã qua đời	病逝
Môn học	課題
Higashiyama	东山
Yu Di	於第
Cải tạo	翻修
quận lỵ	县城
mạng che mặt	羃
giờ	小時
Rồng có sừng	角龍
đặc tính	特性
vụ bê bối	醜聞
Đá	踀
Một lưới	一格
âm lượng	體積
Có	經有
Tottori	鳥取
Giải tỏa	通關
đệ tử	弟子
ranh giới	畛
Tóc trong	內發
bệnh trĩ	痔
Mạng internet	網絡
Dài	龙
Bảo vệ	保
Bún	麅
hươu cái	麀
Rosa	羅薩
nổi loạn	造反
Tuman	圖曼
cách	道路
Phá bỏ	脫離
muốn	祝
nâng cao	高級
Tàu	舰船
đỉnh núi	岊
Dài	迖
Khu đông	东段
May chăn	辡
Tám năm	八年
Bản thân	自體
Nhân viên	雇员
thắng lợi	贏得
Góc nhìn cá nhân	视角
Có xu hướng	趋于
báo cáo	匯報
Kiêu ngạo	棈
C	丙
bộ Tài chính	财政部
Thanh	箐
xấu	歹
cửa	大門
xoắn	撚
và	及其
Trưởng	酋长
Yi	镒
Quá cảnh	凌日
Tây tạng	吐蕃
không quân	空军
từ ngữ	话
Patten	彭定康
bởi vì	因為
quá khứ	过去
Ba cái này	這三
Zhu	楘
sa tanh	缎
Phay	铣
Ouyang	歐陽
Được thăng cấp lên	升為
Pete	佩特
Bao	薩克
Bologna	博洛尼亚
Cơ đốc giáo	基督教徒
Sa	颯
Sau	的後
Xấu	壞
Đậu nành	大豆
Lawrence	劳伦斯
cướp bóc	斢
Tỉnh Saitama	埼玉縣
Benzyl	苄
Bang	擓
bất ngờ	不料
nổ	爆裂
tiềm năng	潜在
khía cạnh	方面
thạch tín	砷
Quốc gia đặt hàng	令制國
lịch sử	史
Nổi danh	而聞名
Truyền giáo	福音派
Etylen	乙烯
bằng thạc sĩ	碩士
Du lịch	遊業
porphyrite	玢
Ở ngoài	門外
Wu	梧
Âm	鄞
Trong tâm trí	的記
Gai	苧
ngũ cốc	糧
Liễu Châu	柳州
ngực	胸部
Đã trở thành	化为
sự thất bại	失败
Đề tài	专题
Xiang	驤
Trận đấu ở sân khách	客场
Xing	惺
hủy hoại	毁
Ngôn ngữ tiếng anh	英語
chân	脚
Âm	辤
đầu gấu	欺
tham mưu	咨询
Hàng đầu	巅
Chi nhánh	樹枝
Sau đó	随后
Các vị vua	金氏
trở nên	变成
Zimbabwe	津巴布韦
thở của cá	喁
Tây Âu	西歐
dần dần	逐漸
đồng tiền	钱币
Vội vàng	冲
Tiếng Do Thái	希伯来
Thư giãn	缷
Tai nạn	墜毀
công nghiệp hóa	工业化
Làm lại	翻拍
Người hầu	侍中
Chúng tôi là	們為
béo phì	肥胖
bùng nổ	轰
Kazakhstan	哈薩克
Nanyu	南语
Hãy cẩn thận	眘
Hệ thống hoạt hình	動畫製
Pewter	鑞
Bryan	布萊恩
bộ lọc	滤
cánh tay	軍火
Trước một	進一
Ami	阿美族
rẻ tiền	廉
Có nghĩa	意即
Ký tên	征
bạo kích	臨界
Lớp và	類與
quan tâm	在乎
Rộng nhất	最廣
mục tiêu	客观
Tụng kinh	念佛
Hoảng sợ	撃
lớn lên	成長
Hạt Xing	兴县
vòng ngọc	玔
Bức vẽ	画作
Sâu	蟝
hạn chót	限期
cuộc hội thoại	談話
Ne	讷
Liền kề với	毗鄰與
Chức vụ	位置
trái thạch lựu	榴
phản đối	抗议
Xe hơi mới	新車
Hoàng hôn	滽
tuyệt vọng	絕望
Người tin	信眾
Bọ cánh cứng	蝳
lý do	理性
Pu	濮
Yi	葴
làm vườn	園藝
Ngoại vi	疊紀
Síp	塞浦
Cũng cho	也為
hơi nước	蒸
Xiangfu	祥符
Ban làm việc	工委
Trấn Giang	镇江
Luo	骆
Háu ăn	飤
mặc dù	尽管
Muộn	晚期
Bộ trưởng bộ tài chính	财政部长
Xoáy	漩
Turpan	吐鲁番
Giữ thời gian	舉時
tấn	聲調
dơ bẩn	髒
Châu Úc	澳大利亚
Vượt ra ngoài	超出
Bayu	鮁
Yu	狫
Nai	奈
Bin Laden	拉登
Li	砬
rừng ngập mặn	紅樹林
Trong hàng	行中
Jian	臿
Đông Á	东亚
Huasheng	华盛
Háu ăn	鮆
màn	幕
Chuyển tới	遷往
Li	萞
Chen	郴
Đăng nhập	登陆
Chậm lại	減緩
Vài	這幾
Sun Jian	孫堅
Điểm	點數
ngồi xổm	跱
giết chết	杀
Tira	地拉
Nanshan	南山
Nicholas	尼古拉
Thị trưởng	区长
Mọi điều	萬物
Làm việc trong	職於
Ngoại trưởng	国务卿
cùn	钝
Mông	臀部
Guofeng	國風
Thời gian là	時間為
Giải thưởng hàng nghìn ngôi sao	萬千星輝頒獎
chính trị	政見
Đẩy	攆
trong	之內
Được phân loại là	归为
Tang Zhongzong	唐中宗
Bài hát	淃
Vera	維拉
nguyên chất	纯
Buick	別克
Công ty	該公司
Yu	騪
Bị hạ bệ	废黜
phát lại	重播
Vĩnh Phong	永丰
Công việc quan trọng	要職
Kushiro	钏
Qi	颪
Touyuya	頭魚亞
Hàng chục	數十
hạt giống	種子
Ủy ban quản lý	管委会
mùa thu	鞦
Triển khai thực hiện	實行
Bahai	巴哈伊
Gusta	古斯塔
Ngốc nghếch	螀
Qua eo biển	兩岸
Quỹ	出資
Bộ phận an ninh	安全部
Các nước láng giềng	邻国
Người chơi	選手
Mờ	锍
nằm xuống	躺
Nhân Viên	职工
Xấu hổ	悆
Quận chịu trách nhiệm	區負責
mẫu vật	样品
tàu ngầm	潛艇
cung Song Ngư	双鱼座
Cỏ cói	薹草
Hoàng hậu	后妃
tóm lược	概要
Tàn tật	殘
Cấu trúc gỗ	木结构
Li	儷
Shen Ke	申科
Di chuyển về phía nam	南遷
Trong	身處
cá nhân	人身
Giữa khuya	中后期
Chăn nuôi gia súc	畜牧業
Mặc	穿著
nổi bật	显赫
Anthracen	蒽
đấu sĩ	戰鬥機
người Trung Quốc	华裔
hài lòng	惬
cụm từ	短语
hiện hành	本届
Ander	安得
Sự đóng góp	投稿
Đúng	昰
Kiểm tra	检
hoopoe	鵀
Lịch sử học	学史
Dọn phòng	家政
bờ biển	滨
Viện kiểm sát	检察院
tuần tra	巡逻
Zhao	棹
đá mài	硎
Tấn công chính	主攻
cầu vồng	虹
Jian'an	建安
bia	啤酒
Tro	阿史
Java	爪哇
Khu dân cư	居民区
nhìn chằm chằm	盯
không khí	风气
Đường phía đông	東路
Đông Nam Á	東南亞
hồi ký	自傳
Hube	戶部
máy vi tính	计算机
Cuộc sống hàng ngày	日常生活
khoáng sản	礦產
đóng cửa	閼
Chất oxy hóa	氧化剂
Võ karate	空手道
Chữ ký	签字
tre non	筤
Thấp	低落
cắt	剐
Yer	耶尔
Nhạc phim	配樂
tay	手
Thành lập tại	創立於
Tuyệt quá	莫大
sư tử	猊
Đá lăn	滾石
Xie	訚
chỉ	刚刚
mây	籐
Ping	蓱
quả vải	荔枝
nước Đức	德区
Không	无
Hạt Chang	昌县
Lạc Dương	洛阳
bốn mươi bảy	四十七
Phù hợp	合式
Xi	澫
Pháo	機砲
lực lượng độc ác	祲
Chào	欗
Giờ quốc gia	國時
Còn nợ	拖欠
Đề cập	涵蓋
phương trình	方程式
Xinh đẹp	綺
Tây Thổ Nhĩ Kỳ	西突厥
lẫn nhau	彼此
thật	的确
Thân trên	上身
đau	伤害
theo	跟隨
Gân	觔
ống sáo	笛
cung cấp	供應
vết loét	疡
chai	瓶
Xe điện	電車
không đồng bộ	异步
cuộc nói chuyện	会谈
kiều mạch	荞
bên	边
Mọi người sống	人居住
Âm	饹
Lisbon	里斯本
Mộ	之墓
Thúc giục	催促
tự nhiên	自然
Xuân	禌
Hàn Quốc	麗
Sẽ có nhiều hơn	會較
Gọi nó đi	稱其
Kính thiên văn	遠鏡
nếm thử	啖
gõ cửa	磕
lừa đảo	作弊
Trường học	校校
Coi như	視為
Cắt thành	切成
cổ phần	樴
chất lượng	品质
chuông	鈴
Shu	蜀
Lá trên	上半叶
Sẽ	意愿
Đã ở	已於
Chip	晶片
Tiếng ồn lớn	大噪
Ôm	偨
đùi	大腿
Sự cố	依斯
phía Nam Trung Quốc	华南
Toàn tỉnh	全省
Đội Trung Quốc	中国队
Sola	索拉
Dinh thự	公馆
Changping	昌平
sóc bay	鸓
giao tiếp	通讯
Phạm vi đầy đủ	全方位
Bản văn	文字
Mở	开放式
Mẹ đẻ	生母
quỹ	基金
Xấu hổ	懁
Mongoose	捴
Video điện	電視頻
Boudoir	閨
Lực lượng tăng cường	援軍
Nâng cao	進會
mưa nặng hạt	霪
tiếng Nhật	日本人
quá	過於
Học sinh trung học	高中生
chuyển khoản	换乘
toàn cầu	全球
vi-rút	病毒
Thành phố nổi tiếng	名城
không phải	並非
ô	傘
Vận chuyển hàng hóa	貨運
Một vài ngày	幾天
Mảnh khảnh	細長
thông thường	常規
sâu	深處
người hầu	仆
hoang tàn	惘
người chinh phục	征服者
đốt lửa	爟
Đánh giá cuối cùng	終審
đối đầu	對抗
Đóng	阖
bướng bỉnh	倔
tỉ lệ	比
giao cấu	姤
Duyên dáng	嫿
natri	鈉
Dài hơn	长于
chim đa đa	鷓
Vượt qua	十字
lò lửa	炉
Sáp	臘
Kiêu ngạo	詧
con nhện	蛛
Viết	撰
Đau khổ	饱受
cua	螃蟹
Bầu cử tổng thống	總統選
Cổ sinh vật học	古生物
bệnh tiêu chảy	泻
nổi bật	出色
Paul	保羅
nghiện	瘾
Bởi	者
vẫn	猶
Nak	纳克
Riga	里加
Một chiêc nhân	一環
Tiếp tục	接續
Thêm vào	增添
Quang học	光學
Trở về	歸來
Rinpo	仁波
Định cư	聚居地
Đợt này	這批
Rút lui	退
Khùng	疯狂
hàng	線
bóng bàn	乒乓球
sự hợp tác	合伙
Ở giữa	之中
đơn giản	簡
Jing	璥
tạo nên	创造
Hải đảo	西沙群岛
Đôi chân	英呎
Ming	溚
Numan	努曼
Freud	弗洛伊德
Xô	沎
Ngọt ngào	甜味
Chi nhánh	分館
Trong cuộc hẹn	在約
Ge	媜
Trung Quốc cổ điển	文言文
Quân đội của người dân	人民军
Sawa	沢
Dân làng	鄉民
Erman	爾曼
tinh tế	细腻
bệnh dịch	疫情
Xương bánh chè	髕
Một lát sau	後來發
viên con nhộng	蒴
luồng không khí	气流
Pittsburgh	匹兹堡
nước Hà Lan	荷蘭
Xiangyang	襄陽
Kiểm soát nước	治水
Yi	侸
đổ nát	僨
Và nắm bắt	並奪
Ling	廋
đại học Quốc gia	國大
văn chương	文獻
Ghi bàn	打進
Baoyu	宝玉
Nhỏ nhất	最小
Chứa đựng	內含
Phát sinh	導數
đóng	親密
Than van	峑
Cả ngày dài	整天
Bất hòa	不和
khách hàng	消费者
Raman	拉曼
chũm chọe	铙
Bắn ra	射出
Dạy	授意
Shi	奭
Tòa nhà	主场
chì	帶領
Giống	有如
nghiệp dư	業餘
chống đỡ	搘
Sông Keelung	基隆河
Sói trung quốc	枸
Foss	福斯
Thắng hay thua	胜负
Ling	凅
Đồng nghiệp	同仁
este	酯
thành viên	員
Trung Quốc	华中
Rút ra	划出
xoáy	涡
Yi	橿
thiết lập	設定
Ke	柯
Thùng đựng hàng	集装
kiểm tra	阻击
chỉ có	隻
Zhu	瀦
Thực hành	踐
Thân cây	干线
Sổ tay	筆記型
Mani	馬尼
Chi bộ	党支部
Thiên đường	天國
cấp độ	平
đố kỵ	羨
khai thác	萃取
Độ cao thấp	低空
Shko	什科
Bảo hành	保障
Kobayashi	小林
Punk	龐克
điện lực	電力
Đảo	之島
Ao	潭
Yi	佥
Maeda	前田
Hun	烌
vỏ bọc	鞘
con lươn	鳗
súng lục	銃
bào ngư	鲍
phản bội	背叛
Vòng tròn văn hóa	文化圈
Mã	典
Cửa ve	票口
Trong nước và nước ngoài	国内外
Chân núi	山腳
Thủ môn	守門
Âm	褹
nóng bức	烫
mua sắm	购物
Đại học Kyoto	京大学
Xấu hổ	臸
Ling	廪
Gạo nếp	餄
Phụ kiện	配件
Mazu	媽祖
Vinh quang	光耀
Yu	虪
suy đồi	頽
Tỉnh Thiểm Tây	陕西省
rạng rỡ	泂
Thời gian này	此次
xinh đẹp	美丽
kim loại	金屬
ủ	醞
Dài	長
Đất đai	陸路
Chủ tịch	理事長
Háu ăn	龥
Lên lịch	賽程
Khó xử	聦
Bạn cùng lớp	班人
giống cái	雌
Góc tây bắc	西北角
Tỉnh tự trị	自治省
nhà vua	王
Vắt kiệt	慤
Zuolin	作霖
Ye	吪
Dajia	大甲
Bồn rửa	擊沉
Fukuoka	福岡
Vì điều gì đó	因事
Moji	莫吉
Chiến thuật	诀
bọc lại	裹
Shan	鞔
Xóa luồng	清溪
Zhe	軹
tham nhũng	贪污
Năng suất	產量
Nấu nướng	饪
con quay	筳
chiến binh	勇士
Chúng tôi nghĩ	們認為
Sở hữu	附身
Nhiều	多個
Sau đó với	則與
Khu Tây Tạng	藏区
con bò cạp	蚰
Chai	飗
Nhà ga hành khách	客运站
chì	鉛
Ren	赑
Nhà máy	出廠
Wai	厗
Tản nhiệt	散熱
đầu mũi tên	鏃
công thức	公式
máy vi tính	電腦
Chưa	尚未
Vượt qua biển cả	渡海
Ngừng phục vụ	停运
Dubai	杜拜
Nghèo	欠佳
hoang vu	荒野
Bị bệnh	染病
nếu	倘
Tongtian	通天
Đảo ngôi sao	星島
Rio	里约热内
Con dơi	頞
Purin	普林
Con đẻ	子嗣
Chiến thắng quyết định	決勝
bay	镘
Xuân	県
Quyên góp	捐獻
ngay	馬上
Vội vàng	沖
Tinh thần đoàn kết	聲援
Ẩn dụ	喻
Gần bờ	近岸
mô hình	典範
chuyến đi khứ hồi	往返
thiện xạ	神射手
Nhiệt độ phòng	室温
Cho tóc	為發
Oichi	尾市
Caribe	加勒比
một	一間
Ẩm	濕潤
Một	一体
dơ bẩn	脏
Được sinh ra	生有
Bài hát	淞
Cá cho	魚為
đỉnh cao	顶峰
cải cách	维新
mục lục	指数
Linhai	臨海
không đúng	不当
đồn trú	驻防
toàn bộ	共计
Bất lực	無力
Cá cược	博彩
Cày cấy	垦
bôi nhọ	蔑
Độ hòa tan	溶性
Pháp luật	律令
hiện tượng	現象
mưa	霅
Dài	茇
Hơn	较
Tất cả	全体
Trường quân sự	军校
Đại lộ	大道
Đã đánh giá	評為
Ming	暺
Sau cuộc bầu cử	選後
Khoa Khoa học Chính trị	政治系
Af	阿夫
mang tính lịch sử	历史性
Chạy	鰗
sẽ không	不會
Tòa án	阁
Datang	大唐
giám sát	监控
nhân chứng	證人
Phía trước	前方
Quốc gia	屆全國
Phỏng vấn	访谈
Thung lũng Hạnh Phúc	跑馬地
Lo	擔憂
lớp	一層
Biển	大海
Đức hạnh	美德
Người cải cách	改革派
trung thành	藎
Kei	畮
Anh giáo	聖公會
cử tri	選民
Rút ra	抽出
Nigeria	奈及利亞
Redding	雷丁
Vitamin	維生素
Sau khi hoàn thành	畢後
Trở về	外還
Ôn tập	檢討
Đông cứng	冻结
có nghĩa	意為
Cũng để	也讓
cuộc tổng tuyển cử	普选
Dạy	指使
nhiều	多
Stei	施泰
Bộ phận này	本系
Jia	嘉
Thân hình	車身
Chong	蜑
Điều kiện	條款
tất cả	所有
Có nhẫn	與環
nói dối	诳
Chiba	千葉
trầm tích	滓
Sinh và tử	生卒
câm	瘖
vần	韵
bờ biển	沙滩
xấp xỉ	約
số dặm	里程
Sự nghi ngờ	猜忌
huyền thoại	傳奇
Đặt hàng	下令
Cho đi	泄露
Nộp thuế	納稅
hoa hồi	八角
cười	悝
Băng nhóm	戢
Không có khả năng	無法
Sự đông lại	混凝
Tạo nên	开创
Được gọi là	則稱為
Rider	車手
Gặp gỡ	開會
Hét lên	嘨
đập	堨
con khỉ	猴子
Knots	节度
mộ	窀
Họ	姓氏
Thiết lập một thành phố	設市
Âm	垠
Vượt qua	及格
Surly	敘利
Quận Hải	海县
Giữ	抱著
nội địa	内陆
quần áo	衣服
Hảo	昊
Rất nhiều	不少
phía đông	伊士
Đại hội thể thao châu Á	亞運
tham số	参数
hoa cúc	菊
toàn cầu hóa	国际化
environs	坰
Giấy	纸张
Tình dục	性戀
Daquan	大全
tin đồn	传闻
Một số	數名
Zhang Zhuan	張專
Những năm đầu của Trung Hoa Dân Quốc	民国初年
Buồng trứng	卵巢
TV phát sóng	電視廣播
xưởng đóng tàu	船厂
phát triển	進展
vượt qua	交叉
giật mình	噩
Urn	籙
Máy quốc tế	際機
