Thành phố	市町村
Qingquan	清泉
tiết kiệm	节省
Khối	街区
người chiến thắng	获奖者
Nell	內爾
Yau Ma Tei	油麻
đàn nguyệt	琵琶
các nhà cung cấp	提供者
Tập giấy	帕德
Năm	年間
CHỈ SỐ THÔNG MINH	智商
Choáng váng	愃
Bộ nhớ đệm	缓存
phần mộ	坟
Mờ nhạt	湏
Li Hongzhang	李鴻章
Trung học phổ thông	中学
Chết vì	病逝於
Mesozoi	中生代
Thấp	低廉
Bắc Trung Quốc	華北
chơi	吹奏
Nhưng không	但並
Lịch sử	史以來
Boeing	波音
Hongo	本鄉
Học viện	学社
So	对比
cổ xưa	上古
Seiko	世子
cắt cổ họng	剄
Urben	爾本
Chín	疎
suối	溪流
buổi tiệc	党
Bữa trưa	午餐
Este	埃斯特
rùa	鼈
Và giả sử	而設
bản năng	本能
Biên đạo múa	编排
kiểu	型
Trạm trước	前站
khuếch tán	擴散
Taizu	太祖
Được chọn làm	選為
Cử đi	分派
Hơn	更為
Kerman	克曼
liên minh	同盟
nhưng nó là	卻是
Phương pháp phân chia	分法
vách đá	碞
Hệ thống âm nhạc	樂製
bá Vương	霸主
phẫu thuật	手術
lưu lượng	流
Vị trí cao	高位
Gạch và gỗ	砖木
sầu muộn	愊
chiếm đoạt	篡
Người mua	買家
Mert	默尔特
Rotterdam	鹿特丹
Ngôi sao	史達
từ vựng	詞彙
Dừng lại	停站
Sau	經在
con tin	人質
Đấu cúp	杯赛
Bing	秉
Nhìn	來看
Zygomatic	墧
Thành lập	所立
cảm tạ	谢
Tôi	亠
ish	般的
Chọn	挑選
Vắt kiệt	撋
Trình độ chuyên môn	賽資格
Macky	馬其
chỉ	晒
cơ sở dữ liệu	数据库
đột tử	猝死
dữ liệu	资料
Bài hát	嵩
Bị cáo buộc	据称
tuyên bố	說法
samarium	釤
Choáng váng	愀
người cầu nguyện	禱告
Hầu hết	差點
Bất lợi	缺点
phì nhiêu	沃
Bỏ trốn	逃脱
Nước ép	汁
London	國倫敦
Cử tri	选帝侯
kỳ nhông	蝾
đầu lâu	顱骨
Phiến quân	叛军
Phổi	肺部
Tiếp đầu ngữ	前缀
châm chích	蜇
Ai Xinjue	爱新觉
bằng sáng chế	专利
Coilia	鱭
Bao vây	僎
Quá cảnh	中转
Giàu có	富含
Ống kính	朗斯
Chúng tôi	頃
Dubai	迪拜
Receptor	受體
Móc	悬钩
Cuộc xâm lăng	侵襲
Tiểu thuyết giả tưởng	奇幻小說
Tát	蹷
Lanny	蘭尼
Dài và hẹp	狭长
Kẽm	锌
Ho	嬗
Ding	燫
Chúng tôi không có	們無
sự phản chiếu	反射
Và đất nước	與國
Chơi	上场
Ngốc nghếch	佝
Okashi	岡市
phèn chua	矾
Tây tạng	藏文
lông cứng	鬃
thuốc độc	鴆
cửa sổ	窗口
Tổng binh	總兵
Hu	衚
Đại công tước	大公
Zhongfa	中發
chế độ quân chủ	帝制
Ding	丁
quái vật	怪物
Ngành kiến ​​trúc	架構
Tara	楻
Sư tử	獅隊
đọc	读
Đột phá	攻破
Vượt qua	通行证
Vồ lấy	抓
Con ngựa	驹
Đối với	為當
Horchin	科尔沁
trán	顙
Phiên bản	版
Ý tưởng	观念
Số lượng lớn	大宗
Cho đến khi	蒂尔
Agen	阿根
Jieshi	介石
muỗng, xúc	舀
Hu	粺
Albert	阿尔伯特
Thường làm	常使
Cao thấp	高低
Sapporo	札幌
Nông phu	农民
ngoại ô	近郊
Nhà máy xe	车辆厂
cô bé	妞
đài hoa	柎
tuần tra	巡邏
Arkansas	阿肯色州
Belgrade	贝尔格莱德
Hồng ngoại	红外
Đột ngột	霎
Ao	鼇
Liệu anh ấy	將他
màu xanh lá	緑
Yu	襸
Axit lactic	乳酸
Háu ăn	饤
Fu	滏
ma	幻影
Bắc	諾斯
Áo choàng ngoài	褸
đường sắt	铁路
Toàn bộ thị trấn	全镇
Giới hạn trong	限于
Rực rỡ	艳
hổ phách	珀
Hờn dỗi	匂
Giáng sinh	聖誕節
Cây	樹木
Kun	鶤
Nơi cư trú	居住地
Kích hoạt	觸發
Phụ thuộc	決於
Ở lại	留下
khởi đầu	啟
Di chuyển về phía nam	南迁
Quảng châu	廣州
Không biết xấu hổ	詷
phục vụ	献
Enol	烯醇
Người đàn ông giàu có	富豪
chậm	缓
thành nội	御
Hồi phục	康復
Tự học	自学
Đồng hành	陪同
Yi	佷
Qi	樘
Tiền bạc	款项
thành phố Manhattan	曼哈顿
Connecticut	康涅狄格州
Bộ Công nghiệp	工部
Album	影集
Tình dục	性愛
quỹAlexandre	资金亞歷山
Zhang	昞
Phần	節
Bazhou	巴州
Bản thân	自己
Quốc vương	君臣
Giữ	保留
Dong Yi	东夷
Hướng dẫn	指示
Phiền muộn	抑郁
chấp thuận	寬容
sân khấu	階段
đáng yêu	可愛
Hub	中枢
Từ	出自
Trước mặt	前段
Tiêu đề	片名
quăng	簸
Yan Xi	閻錫
quân đội của chúng ta	美军
hình trụ	筒
Bình luận	注释
Lồi	凸
Zheng Chenggong	鄭成功
Thuyết giáo	傳道
Willie	威利
Hồi ký	回忆录
xếp hàng	队列
Đứng	常務
Đô thị hóa	城市化
Tân Hoa Xã	新化
Người bảo vệ	护者
Tình dục	性地
Tiếng kêu bíp	哔
Bướng bỉnh	瞨
Xa lánh	龁
Chính thức	为官
Zhang	昃
Đàn ông	男子
Tên miền cấp cao	頂級域
vòng cung	弧形
sân bay	航空站
Trú ngụ	寓居
Yi	弌
Điều trị y tế	医疗
Dòng chảy	涌入
Nước Iceland	冰岛
Nebraska	內布拉斯加州
Yao	幺
Thích	贊
dư luận	民意
Chính ủy	政治委员
Kerr	克爾
Và trong	與中
Ichigo	一護
Riemann	黎曼
Vâng	呀
Niềm đam mê	激情
Vật phẩm này	该项
Trang sức	珠宝
mẹ	母系
Sai Sai	賽賽
Ngực	胸前
Tám trăm	八百
Cassiopeia	仙后
Pyridine	啶
Và hai	及兩
quân cảnh	憲兵
màu sắc rực rỡ	有色
Hồi hương	遣送
Phiến quân	叛軍
Theo	遵
Con trai	兒子
vô số	無數
Tháp chuông	鐘樓
Hakka	客家话
Con la	騾
phát triển	進步
bay	飞
tuần	週
Sri Lanka	斯州
Từ ngữ	字句
Hiệu suất	業績
Xe ngựa	戰車
Trong một thời gian	一陣
Lên men	发酵
Ôm	徝
Khoảng thời gian kể từ	期以來
Kantan	康坦
Từ	來自於
phe phái	派別
thép không gỉ	不锈钢
thực hành	练
Đơn vị hành chính	行政单位
Hoặc là	奧爾
Đua hỗn hợp	混血兒
ngày	白日
Linh hoạt	灵活
Kỹ thuật	工学
Sáp	腊
Cộng sản	共产党人
Nantang	南唐
Tbilisi	第比利
Người môi giới	經紀
Nanyuan	南苑
Người Duy Ngô Nhĩ	回鹘
Hạn chế	受制
hộ chiếu	签证
Rắc rối	困擾
dấu	标示
Sầu muộn	憂鬱
alkyl	烷
đèn lồng	灯笼
Mi	弥
Kiệt tác	代表作
người đọc	读者
liên kết	關連
Yu	竸
Jonah	乔纳
Cây lưu ly	苣苔
Cacbonyl	羰基
Toluene	甲苯
Zabu	扎布
Acetyl	乙酰
diễn đàn	論壇
vật chất	实质
Tang Taizong	唐太宗
Mỗi	逢
chớp cánh	扑
bão nhiệt đới	颱風
con quỷ	恶魔
chùa	佛塔
cây sào	竿
Romania	羅馬尼亞
Phấn khích	激
Sti	斯蒂
mẹ	媽媽
Âm	瀱
Điều khiển	管控
Vắt kiệt	漋
con tắc kè	蜴
Huhe	呼和
Ngày 22	二十二日
carbon	炭
Địa điểm	位点
tiểu sử	传记
danh từ	名詞
Doanh thu	漢諾威
Sẽ là	將於
Dân số	尔人口
Xingguo	興國
Địa ngục	地獄
giải phóng	發佈
Âm	埪
Amoni	銨
Doanh thu	汉诺威
Người tiên phong	首創
Birmingham	伯明翰
Phiên họp toàn thể lần thứ ba	三中全会
chán nản	鬅
Nhãn hiệu	勃兰
các Tiểu Vương Quốc Ả Rập Thống Nhất	阿联
tham	馋
Góa phụ	寡妇
Giang Tô và Chiết Giang	江浙
Một	一个
giải phóng	摴
Cưỡng bức	被迫
Gou	觏
Mềm mại	軷
Chống lại	迎战
Knotty	节性
Singh	辛格
Hơn một nửa	過半
Biên tập	編修
Buenos	布宜諾斯
bảo vệ	卫兵
Độ cao điểm	點海拔
Tung hô	海陵
Một người	一個人
Tích trữ	褀
trống đồng lớn	鼖
Nhện cua	蟹蛛
tinh thần	精神
Columbine	哥倫
Giết người	命案
áp bức	迫害
Tấn công bằng phi cơ	空襲
Biến cố	項賽
điều này sẽ	這將
có lợi	益
Gu	顾
Trang web cũ	舊址
Hồng Lâu Mộng	紅樓夢
Tàu	船舶
con gái	姑娘
suy đồi	颓
vắng mặt	缺席
Chìm	淹没
Mỗi tập	每集
màng ngăn	膈
Hướng tới	邁向
Cheng Zhi	承志
Ở giữa	間在
Bốn trăm	四百
đánh	打
Đặt nằm	奠定
xe hơi	车
vui sướng	歡樂
Taizhou	泰州
Quần áo	褈
ngữ pháp	语法
Đừng ở với	別與
Bản văn	文
Thông báo	宣佈
Sau và	後與
Congo	剛果
vây	鰭
Vượt ra ngoài	超越
Nhóm A	甲組
dám	敢
về nhì	亞軍
nhấn	报刊
đôi mắt to	大眼
gạo xay	粞
tại thời điểm này	此時
Shogi	將棋
Manstein	曼斯坦
Khai báo	宣
Nixon	尼克松
mạ	鍍
Thử nghiệm	审判
rễ cây	荄
nghiêm trọng	严肃
Reese	瑞斯
màu tím	绀
Lei	蒀
họng	喉
Frank	弗兰克
cho đến khi	为止
như thể	彷彿
Panzhi	攀枝
Phong cách âm nhạc	音樂風
Xe bọc thép	裝甲車
giáo viên	教员
Lượng mưa	析出
thứ mười bốn	第十四
Đây	莅
Sớm	提早
Shigemitsu	重光
Họ hàng	外戚
đã sử dụng	惯
bột mì	面粉
mộ	壙
Gondor	剛鐸
Công ty	会社
cái bè	筏
Zhi	酃
Đối mặt với nhau	相望
Rong	鎔
Rende	仁德
con số	号
Admonish	諼
Tây Bắc	西北
Âm	燠
Con gái	女生
tin nhắn	信使
Đa dạng	品种
con lửng	獾
Hướng dẫn	指引
Chết	殁
Buộc tội	指責
Chức vụ	司職
Đà điểu	鶓
Ban nhạc	波段
Chìa khóa	密钥
Chơi nhạc	演歌
Nadal	拿度
đảo san hô	環礁
Loire	卢瓦尔河
Tỉnh ủy	省委
mùi	气味
Tham vọng	雄心
bạo loạn	暴動
Chia sẻ	份
Tung Wah Group of Bệnh viện	東華三院
tương tự	同位
Thắng lợi	獲勝
Cây	棵
Nước	水性
Quốc đảo	島國
Chim bồ câu	鳩
mê cung	迷宫
Hội đồng quận	區議會
Alibaba	阿里巴巴
cày	耜
Đừng di chuyển	不动
Bai	佰
Suri	蘇里
chàng rể	新郎
Hệ thống quân sự	军统
Bùng nổ	咘
Myanmar	缅甸
tăng	增長
Suy nghĩ	思維
Fuji Mount	富士山
Bang	吘
Vùng có nước mưa rơi xuống	集水區
Kobe	神戶
vinh quang	荣耀
Roe	獞
Panama	巴拿马
Serre	塞雷
Fu Teng	符腾
cây sào	极
Đồng minh	同盟國
Nổi dậy	叛變
tiêu cực	消极
mở ra	开辟
đỉnh núi	山峰
Tái thiết	改扩建
Ying	嬿
Ming Taizu	明太祖
Cong	拱形
đá	踶
Li	醝
Sinh kế của người dân	民生
Đại hội nhân dân	人大
Kết nối	連繫
Chang	涘
ngồi xổm	蹲
Sáp	糯
Khác nhau	同父異
Bỏ tù	监禁
Chúa tể	尊者
Và dễ dàng	而易
bím tóc	辫
Xô	檎
quảng cáo	广告
tháng Ba	行军
bộ lọc	過濾
củng cố	增援
Stella	斯特拉
zirconium	鋯
quyết định	決策
Tường	沃尔
nơi trú ẩn	庇護
Gạo lên men	醄
đất đai	土地
tắt	關閉
ngành công nghiệp	行业
phấn	垩
Feihong	飛鴻
Nắm bắt	奪
Wanshi	萬石
trước	以前
Được thăng cấp lên	晉升為
Bán đảo Cửu Long	九龍半島
đắng	苦
Mét	公尺
Anping	安平
Erga	爾加
Xa lánh	舜
điều răn	誡
Chờ đợi	等
thời gian	时候
cái chùy	梲
săn bắt	追杀
tiềm năng	潛力
Gao	杲
Sau khi nghỉ hưu	退休後
Gia Cát	諸葛
Anh ấy nói	他說
Số hữu tỉ	理数
Phiên họp	届
Ốc sên	螺属
hài hòa	和谐
Độ phân giải	分辨率
không khí	氛
Yan	剞
Zhang Hui	張惠
năm mươi ba	五十三
tàn sát	屠殺
Nhiếp ảnh gia	攝影師
Dirac	狄拉克
Kinh tế học	经济学
Parana	巴拉那
Qian	骞
Quyên góp	捐献
mũ	帽子
Di truyền học	遗传学
đá cầu	毽
nhóm	團
Dai	醍
ngân hàng Trung Quốc	中国银行
Bỏ tù	期徒刑
lãnh đạo	领导者
Ngân hàng HSBC	滙豐
Nhưng	但卻
từ ngữ	詞
chi tiết	詳細
lực lượng	部隊
cấp dưới	部属
sinh nhật	生日
Bán kết	半决赛
Đang tìm kiếm	寻
Không hoạt động	非营
Tỉ lệ	蚧
Cùng một năm	於同年
Khuyến khích	推廣
Chịu đựng	經沒
Apple Daily	蘋果日報
Huxi	湖西
Khói	吸食
Cáo phó	鮣
Rút thăm	抽籤
Mas	馬斯
bộ phận hậu cần	后勤部
Quả ô liu	橄榄
tinh thần	磧
mastiff	獒
kéo	曳
nói	是說
Người phụ nữ của chúng tôi	圣母
Chelsea	切尔西
Quận từ	區從
Thái	泰
Cách mạng Văn hóa	文化大革命
vỏ sò	贝
Za	札
Sự đổi mới	创新
Tưởng tượng	想象
Làm	制取
Reid	雷德
Dưới cùng	谷底
Trên đầu	目上
Sina	辛那
Hui	荟
lớn	宏大
Thần sấm	雷神
Đến	來納
đoàn kịch	劇團
Không thể chịu được	不堪
dừng lại	停
sốc	震動
Đà điểu	鴯
quân đội	军
Phiên mã	转录
pha lê	晶
Chun	椿
bắn	毙
gạch	塼
siêu thị	超級市場
ho	嗽
Huyền thoại	相傳
Trong sân	院內
Thoát nước	瀝
Chiếm giữ	沦陷
Bala	巴拉
đứa trẻ	子女
bàn phím	鍵盤
Gerry	格里
kết nối	联络
Les	列斯
tranh giành	抗衡
Tát	蹳
giả thuyết	假說
Cá heo	豚
Nhón	懐
Lưu lượng dòng chảy	流速
Gui	圭
đầy	飽
Zhi	贽
Sting	螥
trong cuộc đời tôi	一生中
hào	淢
Eryu	爾於
Lohan	羅漢
Thôi miên	催眠
Sự phát triển	演變
Khoa học và Giáo dục	科教
khai thác mỏ	採礦
Nheo mắt	眝
sợi chỉ	绪
Leipzig	莱比锡
Thích hợp	一致
Lang	湦
Qi	骐
săn chắc	廱
Khu vực	该区域
câm	喑
cung điện	宫殿
đánh bóng sừng	觷
nhiệm vụ	责
Beatles	披头
Quốc tịch Hán	汉族
Thỉnh thoảng	間發
Toà thị chính	市政府
Người dẫn chuyện	旁白
Cỏ đuôi phụng	尾草
Giáo viên	師師長
lực lượng	武力
màn	幙
Chặt đầu	斬殺
Đánh vần	拚
Rung	振
Công nghệ	技术
Xâm nhập vào	滲
Sh	轪
Simon	西门
Cày cấy	墾
hoang dã	埜
Guangxu	光绪
Baroque	巴洛克
Eason Chan	陳奕迅
Chiều cao	身長
ngủ nướng	位于
trượt	滑
Nhanh	斋
Hồ nước	雷克
mũi tàu	舻
Sự thông minh	情报
Ở châu Âu	於歐洲
Vây	鰭軟條
Cấp dưới	部下
căng thẳng	緊張
bỏ đi	报废
Hàng xóm	與鄰
Xấu hổ	銾
Dieter	迪特
Liteon	建興
Đấu trường	赛场
Mặt hồ	湖面
Peter	彼得
Qi	逑
Lúc bắt đầu	當初
Zhiwei	志偉
Thành phố Tsu	津市
tổng giám mục	大主教
bệnh lao	结核
Cái vuốt	胈
Thời gian tập	劇集時
đi	赴
Phức tạp	配合物
tối ưu hóa	优化
Linh miêu	猞
và	併
lên	及至
Đặc vụ	剂
Gửi đến	派往
Thiên Môn	天门
khô	燥
Kết cấu	搆
Yu	饘
người quản lý	管理员
Đang tìm kiếm	尋
Bảo mật	保定市
Napoléon	拿破仑
Chân mày	狛
Howard	霍华德
Danh sách phổ biến	流行榜
Số Pi	陂
Thỏa hiệp	折衷
Mong Kok	旺角
Ligue của Pháp	法甲
Nổ	突发
Alfonso	阿方索
Earle	厄尔
Qi	轕
thu nhập = earnings	收入
Pterans	翅目
dịp tốt	时机
Weiss	韦斯
Karlsruhe	卡尔斯鲁厄
Zheng	鄭氏
Đăng nhập	登陸
thùng	枪管
Gul	古尔
Lượt về	之交
Xem xét	諗
Tuổi	歲的
Biểu diễn nghệ thuật	演藝
Si	禝
Xâm phạm	侵犯
nhảy vọt	踴
Sớm	旋即
tỏi	大蒜
Khiếm khuyết	叛逃
Hu	篶
đến	過來
đầy	充分
thô thiển	原油
Yun	韾
Chơi trên	劇於
Từ chức	辭去
Li	楧
Dọc theo	沿着
Nạn nhân	遇难者
Nguồn nước	水源
Xianzong	宪宗
trống	空的
Khoe khoang	展現
Áo khoác	襦
Âm	兙
đảo ngược	倒
Wu	婺
Trở về	归来
Hu	戉
Xinghui	星輝
xã hội học	社会学
Ý nghĩa	諦
người thân	亲属
Chạm tới	达
dễ thương	倢
Triệu hồi	召見
làm đẹp	美化
hình dạng	状
Bảo vệ chống lại	防備
Có liên quan	相關
kinh doanh	业务
yêu cầu	請求
Cơ sở hạ tầng	基建
chiếm lại	奪回
phát sinh	衍生物
trao đổi thư tín	对应
trận đấu nhóm	小组赛
gõ cửa	叩
cao	高大
Thả thính	橒
Mỗi	毎
Đánh nhau	轉戰
Mike	麦克
Khu kinh tế đặc biệt	经济特区
tuyến giáp	甲状腺
Tốt bụng	樣
Lei Yue Mun	鯉魚門
Hai năm sau	兩年後
giải phóng	发布
phụ trợ	掾
Lemberg	伦堡
đầu lâu	髅
xì hơi	瘪
Plantar	跖
Li	驪
Trung tính	中性
Tình cảm phổ biến	民情
ít hơn	少于
Guangxu	光緒
Nắm bắt	夺
buồng	柜
Phòng tổ chức	组织部
Điều lệ	憲章
Có tỷ lệ	有率
Charente	夏朗德省
ngũ cốc	穀物
Nước xốt	醬
để trần	袒
Luneng	鲁能
trường hợp đầu tiên	一审
đường thẳng	直線
lạ lùng	怪
Enzyme	酶
Keelung	基隆
Alen	等位基因
mông	夆
tiếng vang	呼應
Vận tải đường biển	海運
Nhà triển lãm	參展
Vật phẩm này	此項
lạ lùng	奇特
biên tập	編輯
buồn bã	煩惱
Bún	馍
yêu bạn	愛你
Han	菡
Đại học Tongji	同济大学
Chăm lo	照顾
Bốn ngày	四日
Bao gồm	納入
Lei	蝒
Ngày hôm đó	当日
Phong	馮
Mười nghìn	一萬
Mian	澠
Thần tượng	偶像劇
Chùm tia	梁
xe hơi	汽車
Cuộc phiêu lưu	探險
Kéo dài	腢
nguồn	来源
dựa vào	赖
Làm cho mọi người	令人
Ngập	淊
Luwan	卢旺
cầu thủ bóng đá	足球員
Dây sắt	鐵綫
Dài	壠
Downer	唐纳
Độc thân	单
Cho lâu dài	為長
Giới trẻ	年青人
dược phẩm	医学
Khi đến	來時
Làm lơ	忽略
Jianguo	建国
Hiệp sỹ	侠
Nhìn chằm chằm	覿
chạy	運行
Outreach	外傳
Đầu Thanh	清初
Bồn rửa	沉
Qi	秱
Đường cao tốc Tuen Mun	屯門公路
khôn ngoan	明智
Cumshot	仆射
ngoại thương	外贸
Yao	姚
Trong ngày	日內
Ye	呴
Hoàng đế Daoguang	道光帝
sôi lên	熬
Xấu hổ	湁
thật thà	清廉
Trang trí	装修
Chì	率領
thói quen	习惯
men	酵
gỗ	木头
Kết tụ đô thị	城市群
Công cụ bằng đá	石器
Luz	路斯
Chuyển giới	跨性別
Ốm yếu	多病
Thật	确
ấm trên chân	鬷
vào thứ bảy	星期六
Đi qua	穿越
Az	阿兹
Cá nóc	鲀
Gạn lọc	滗
Ông già	媏
Mira	米拉
franxi	钫
Bướng bỉnh	碜
Pang	鄀
phải	必
Cướp bóc	掠
Trong làng	村內
Thẩm phán	地方官
giao diện	接口
Tây An	歅
Basse	巴塞
Trung học phổ thông	高級中學
Muộn	下旬
triết học	哲学
sacaroza	蔗糖
Chín chín	九九
Wei	炜
giới thiệu	薦
uy tín	威望
Triều đại Qin	秦朝
con hàu	蠣
liên hiệp	工会
dạy	教导
Tiểu sử	列传
làn da	皮肤
Chống lại	對其
thuốc độc	毒
Phía đông	東側
Khen ngợi	襒
Bàn giao	交接
Giá trị	数值
Lựa chọn	选拔
Trigulation	三聚
dịch bệnh	疾
măng	箘
ghi âm	錄音
Quận Đông	东区
thảm	地毯
Trang điểm	凑
Sư Tử	利奧
Tường thuật	敍
Tang	踎
suy đồi	頹
chương trình	節目
Hạt Lin	林县
Federer	費德勒
suy nghĩ	思
của tôi	矿
Đại diện lớn	大代表
nấm	菇
Shu	淑
Giám sát	监督
Yan	灩
Hát	飃
Huf	瓪
Truman	杜魯門
Lễ hội	樂節
loạt	級數
Tỉnh lộ	省道
Bungari	保加利亚
Jingshan	景山
Dựng lên	架设
Cộng hưởng từ	磁共振
Phun	娙
Buổi họp đều đặn	常會
Polo	波罗
Cùng tên	齊名
Gây quỹ	集资
Thép	钢铁
Ngôi sao chuỗi chính	主序星
nâng cao	先进
in vivo	体内
Mm	公厘
hổ thẹn	愧
Kumamoto	熊本
Đã chạy	兰经
Peng	蓬
Ferdinand	斐迪南
Học tập	學裏
Không nên	不應
Hezhong	合众
tiêu tan	消散
Vị trí sau	位後
Để ý	通知
chim sẻ	麻雀
Ruf	魯夫
Tổng biên tập	主编
Được dùng cho	用于
Đại học Hồng Kông-Chu Hải-Macao	港珠澳大
Lee	李氏
Thượng nghị viện	參議
tiêu	胡椒
tiếng Nhật	日籍
Năm sinh	生年
Quay lại	復出
cho	對於
nước Thái Lan	泰國
Ander	安德
Bắc Nam	南北向
phòng vệ sinh	廁
chú ý	注意力
Đi đường sắt	武鐵道
Extremadura	埃斯特雷马杜
bóng chuyền	排球
Người đến	人對
khảo sát	调查
qui định	統治
Đi tay trong tay	並進
bột	粉末
Tích trữ	積約
axeton	丙酮
giai đoạn = Stage	朞
tốc biến	闪
Thua	失利
Chụp ảnh	拍照
Pyrenees	比利牛斯省
từng bước một	步步
Trói buộc	縳
hạt dẻ	慄
chịu đựng	忍受
bán	推銷
một vài	幾
Doyle	道尔
Lịch sử thế hệ	代史
Sự hiểu lầm	誤認
con vẹt	鸚鵡
Cái gọi là	所谓
huyết áp	血壓
Dấu phẩy	頓號
món ăn	粮食
axit hydrochloric	盐酸
Khách sạn	酒店
Có thể	可為
Quán cà phê	咖啡店
mục đích	目的
Cầu lông	羽球
Môi trường tự nhiên	自然环境
rung chuyển	擻
Tình trạng	病情
Wan	脘
Kiêu ngạo	惈
Cairo	開羅
Tinh tế	精致
Hội nghị hiệp thương chính trị tỉnh	省政协
RAM	内存
Tám ngày	八日
Lo lắng	惵
Đầu lớn	鳙
Được	得
mạnh	堅強
Sato	佐藤
Người Hồi	回民
Lulu	路路
Celine	席琳
Khó xử	狝
đưa ra	提出
tiêu đề	標題
Máy khoan	钻
chất bẩn	垢
Xấu hổ	匲
tối	晻
Hai năm	二年
Xuân	瑹
Chimei	契美
lụa	绸
Bella	贝拉
chim bồ câu bằng gỗ	鹁
Hu	祦
Chủ đề	线程
chia buồn	喭
và với	並與
Khó xử	祌
Sớm	及早
Tang	軄
ĐT	特尔
Khía cạnh	面體
Thứ sáu	週五
Yi	伂
Tập trung vào	矚
cốc	桮
Lễ hội quân sự	軍節
Mạng internet	网络
Var	瓦省
con ngựa mạnh mẽ	驵
Xuất hiện	出場
Bodo	博多
Trước kia	前身為
Tây tạng	藏
Đầu phía nam	南端
ghi chú	笔记
thuyền tam bản	舢
Bóng chày	蛯
nâu vàng	麑
Vichy	维希
Nhận biết	鑑定
Rong biển	海藻
Gây rắc rốisự tập trung	肇事浓度
Xin	莘
Tiêu thụ	耗
Luôn luôn	一向
San'in	山陰
Nước ngọt	汽水
sườn động vật	胠
Đảng cách mạng	革命党
song song, tương đông	并行
rừng tre	竹林
Xiao	驍
Đến	鼀
hệ thống pháp lý	法制
bậc thầy	师傅
Fu	鑅
Lấy lại	找回
Cho người dân	為民
súng trường	步槍
truyền tải	传输
Và sau	併後
và cả	还有
Mir	米尔
Cộng sự	拍檔
Han	邘
tàn sát	屠杀
Wu	鄔
Châu Á	亚细亚
Yếu	薄弱
hóc môn	激素
Phía tây	西边
Cắm vào	插件
mở	开放
Sẽ hợp nhất	會並
ống sậy	簧管
Chân thành	恳
Con trai	公子
Hướng tây	西向
Xe buýt	公車
Mẹ hoàng hậu	太后
Ra khỏi đám đông	與眾
Baptist	浸信
Shi	氏
niêm phong	密封
Một đơn	一個單
tàu chiến	軍艦
xương	骨
Chủ nghĩa tư bản	资本主义
tà ác	姦
cửa tiệm	店舖
Giải thích là	釋為
Tỉnh Hà Bắc	河北省
nhà kính	溫室
gia tộc	氏族
Đến	緻
cá nhân	個人
Chuyển hướng	分流
Quản trị	施政
Sau cuộc chơi	赛后
Cử nhân	学士
tình hình	狀況
Sau	後的
Phân họ	子科
Sao Diêm Vương	冥王星
Arden	阿登
châm cứu	砭
bực bội	恼
khá	蠻
Tát	彉
hổ thẹn	媿
trứng bọ ngựa	蟭
Âm	恁
Cạnh bên nhau	並列
Hòa hợp	谐
quai hàm	頜
cắt	砍
Mọng nước	絮
mát mẻ	凉
thích hợp	龕
Thành phố Hồng Kông	港城
Thị trấn	乡镇
thợ săn	亨特
Thẻ hoang dã	外卡
Lễ	儀式
từ chức	退位
tàu không gian	飛船
Barcelona	巴塞罗那
Dẫn tới	通往
Utada	宇多田
Máy và	機與
đất liền	大陆
Thuê	雇佣
gián tiếp	間接
số tiền	額
xúi giục	嗾
Kín	受封
Nguy cơ tuyệt chủng	瀕危
锸	锸
Con quay	主軸
Kênh	窜
khu vực	華德
châm chích	螫
Chúa Trời	有神
Sự công bình	義
viện trợ	援
Xi	隰
Phố núi	山镇
Yueshi	月氏
Chế độ nô lệ	奴隶制
Gerry	格麗
lợi ích	得益
vỏ quả	莢
thông thoáng	明朗
quý ông	紳士
Giải thưởng âm nhạc	曲獎
Phi công	试点
Quyên góp	捐款
cung cấp	补给
Đảo	岛
Chúc mừng	賀
quyền lực	勢力
Pi Su	毕苏
đơn độc	茕
Hình ảnh	映像
việc làm	工作
Được phân loại là	划为
con cú	鸱
Kai Kai	歲開
Xô	橎
mười ba	十三
Gai	呪
Lính chì	率兵
Lên bờ	上岸
Qi	俧
Khô	枯
Ganda	干達
Luo	倮
Quân đội chính phủ	政府军
thiếu trách nhiệm	疏忽
Hòa hợp	諧
Thế vận hội quốc tế	國際奧
Tên quận	縣名
Quzhou	衢州
Trưởng lão	长老会
những giọt nước mắt	淚
Cũng được biết đến như là	又稱
Nhà câu lạc bộ	會所
con mồi	捕食
Sách bài hát	詩經
khô	干燥
Xiao Bao	小寶
Trong cấu trúc	構內
Hóa học	化學
Ngày hôm đó	當天
có nghĩa	意为
cua móng ngựa	鱟
Nhìn	瞧
bơ phờ	蔫
Chiến tranh chống Nhật	抗战
Chó gấu trúc	貉
Cơ quan khí tượng	氣象廳
Nhãn hiệu đầy đủ	满分
hài hòa	和諧
Năm triều đại và mười vương quốc	五代十国
Tan	榲
Urawa	浦和
mũi tên với một streamer	矰
Bo	啵
Được đặt tên	名為
Người hâm mộ	粉丝
Dương	垟
mạnh	壮
kế vị	繼位
Tuyết rơi	降雪
đỉnh cao	高峰
Penang	檳
Nam Mỹ	南美
tà ác	邪
căn cứ	垒
Chủng viện	神学院
Starr	士打
Songhua	松花
Lee	李
Cốc thủy tinh	璃
Giữ	留存
Bondage	束缚
Nhặt lên	接
Hạn ngạch	名额
đồng hành	陪伴
Kết thúc	踰
Phần	部曲
Ji	啻
