Túp lều	庐
Tay phải	右手
Có lợi	有益
Loại cơ thể	体型
Biển trung quốc	中国海
hang	石窟
lá thư	函
Lời bài hát	抒情
Xinh đẹp	美好
Zi	孜
Mia	米亚
Giật mình	怔
Xa lánh	顺
Một phần	分之一
Shimizu	清水
Thăng bằng	天平
khiển trách	誚
Chết	逝
mt	公噸
Đại học Vũ Hán	武大
tập trung	專心
nguyền rủa	诅
Zhu Xi	朱熹
Thành phố Sapporo	札幌市
không thường xuyên	龃
Lan	兰语
Nữ diễn viên	女星
Microsoft	微軟
Chi nhánh	分院
vĩ độ	纬度
Raymond	雷蒙德
hướng Tây	西方
Máy ảnh	相機
Nữ hoàng bóng tối	影后
Thực hiện việc này	藉此
xem	见
Nhà chọc trời	摩天
con mắt	眸
móc câu	鉤
Erda	爾達
lung linh	皦
Amoni	铵
Chester	切斯特
gợn sóng	漣
náo động	騷動
Buồn phiền	孌
Han Jun	汉军
giám đốc	董事
đi vào	输入
Có liên quan	关联
Kinh nghiệm	體驗
Nhận thức	认知
Tiếp theo	继
Gouqiao	沟桥
Bois	布瓦
Làn đường	车道
Chim ó	鵼
Bề mặt cơ thể	體側
đăng nhập	登錄
Lưu lượng hành khách	客流
Qian	鶱
Hội chợ	費爾
Qi	丆
Kiểm tra thị trấn	鄉試
Wei	陃
bão	颶
Giống	像
Bi	璧
Khu vực sản xuất	产区
Co lại	萎缩
Hội đồng lập pháp	立法會
Honduras	洪都拉斯
Nevada	納州
Ốc sên	螺科
Đông đúc	排挤
Điều khoản khác	屬雜
Ang	盎
Yoo	與奧
Cắt	裁
Xianfeng	咸豐
bắn tỉa	鷸
Từ Hi Thái hậu	慈禧太后
làng	村莊
Yan	遬
Vành	輞
Cắt	切断
Hoạt động trên	工程於
Thống nhất	统
Isomorphism	同構
tập trung hóa	中央集权
áo giáp	铠
Quay	轉動
Một số loại	某種
Trận đấu	的賽
Dài	長遠
Mu	軧
Sự thông minh	智力
Nhiệt độ khác nhau	温差
Yu	霋
Chúng sinh	众生
với	同
lợi thế	優點
Kenshin	謙信
Đa dạng hóa	多元化
nhiều hơn	大于
Khu vực đài loan	台区
thỏa hiệp	妥协
Trái cây	波爾
Hang	洞窟
Bỏ qua	俯瞰
bằng phẳng	平坦
Macky	马其
tên nick	别称
Alabama	阿拉巴马州
Hinder	阻碍
tàu tốc hành	快车
Lễ hội trung thu	中秋
Trân trọng	谨
hành hung	突擊
Grenadier	擲彈
Airbus	空中巴士
sao chép	摹
tham vọng	志向
Tổ chức	該組織
Đầy đủ hơn	富勒
Anita Mui	梅艷芳
Và Jing	與經
dịch bệnh	疾病
rơi ra ngoài	退出
Lu	卢
Giết chết	殺死
Vẽ tranh	伋
Jizhong	冀中
Máy ảnh	摄像
Than van	廑
Vịt Bắc Kinh	鴛
Vịt Bắc Kinh	鴦
Skeet	士革
Bầu cử bổ sung	补选
cua	螃
nữ hoàng	国后
Benja	本杰
lợi ích	裨
Tỉnh Fukuoka	福岡縣
bầu trời	天空
nắp hình nón	帻
nguyền rủa	骂
Wu Trung Quốc	吴语
Môi trường sống	栖息
Quyết toán	聚落
Lưu Bang	劉邦
Sứa	水母
Nhìn chằm chằm	盝
Lễ khai mạc	开幕式
trò chơi Olympic	奥会
liễu rũ	婀
Thành tích	績
Số nguyên	整数
phân phối	分配
Xấu hổ	躆
Đã làm việc với	曾與
Zhu	斵
Shuibian	水扁
thời gian	時候
Epina	埃皮纳
Tĩnh	靜態
xe hơi	轎車
Được phân loại là	歸為
Chia cho	除以
Mạc phủ	幕府
Vị trí thứ ba	季軍
Tốt hơn	較佳
Chỉ đứng sau	僅次於
Xung quanh	身邊
Rong	蓉
Hội chợ	费尔
đầm phá	潟湖
Điều tra	追究
Đôi chân	呎
Thành phố Nhạc Dương	岳阳市
Phi	掷
kỳ hạn làm việc	任期
Giám đốc điều hành	行政長官
con sông	尔河
trên	關於
Tát	舋
lái xe	驾
James	詹姆斯
câm	啞
Khoảng thời gian	区间
Không	們沒
Xô	攡
Zhang	栂
Tránh	避开
Poidium	蓷
giống	相近
Logistics	物流
Đánh mạnh	重创
Bướng bỉnh	倁
đưa ra	取出
Matsushita	松下
Tin	钿
Zaragoza	萨拉戈萨
Mong	盼
Tỉnh Ibaraki	茨城縣
Đồng hồ đeo tay	觀賞
khao khát	嵂
Chất đơn giản	单质
gọi	叫
Hoa hồng	羅斯
Tây An	葘
Buda	布达
súng cầm tay	枪械
đối diện	对面
trở nên	成爲
Theo cặp	成對
Sách khoa học	科書
bàn đạp	跳板
tiếng Nhật	日人
Vâng, đúng vậy	是的
lạc đà	駱駝
Công ty	會社
điện thờ	神社
xẻng	铲
giám sát	顯示器
Yongle	永樂
Lantau	大嶼
Đã lên lịch ban đầu	原定
Kết hợp với	会同
Ye	樖
Ngắn	短小
Otocho	乙丑
Chiếc cúp	獎盃
Linna	琳娜
Tổng thư ký	总书记
Bộ nội vụ	務省
Cho	赋
Bất tận	不已
nhỏ giọt	潺
Dài	蕌
sự hối tiếc	悔
Dongyang	东阳
thảm họa	災害
Trong công viên	园内
cung cấp	供给
Cơ lượng tử	量子力学
gián điệp	谍
kết tủa	淀
cuốc đất	锄
Vi phạm kỷ luật	违纪
phá vỡ	擘
Pháp	法兰西
Vô cùng	有極
Cục là	部為
Cai	蔡
Bắt đầu phát sóng	開播
Tương ứng với	對應於
lạc quan	乐观
búp bê	娃娃
Quyên góp	捐助
Chọn	挑选
Vẽ tranh	划
Rình rập	薹
trái cam	桔
Một bang	一個州
Muối	盐
túi	袋
quyền lực	有力
Ile de France	法兰西岛
Số một	一號
Ya	繑
Maya	玛雅
thương mại	貿易
Trường Cao đẳng	高等学校
Pengcheng	彭城
Làm lại	再造
Xingguo	兴国
Đặt	把
cừu	羊
hỗ trợ	协助
đồi cây cối	岵
Phải	只好
co lại	收縮
Là	則被
Luo	籮
đội	球队
nâu	布朗
Trung tâm thành phố	中市
trang hoàng	縟
thích hợp	适
Cheng	埢
sự đóng góp	貢獻
Đảng	各方
Mọi trò chơi	每場
Hamilton	汉密尔顿
Lưu trữ	含有
Glo	格洛
tính phí	帶電
Xi	浹
Tổ quốc	父系
Quận một	區之一
Tóc chiến đấu	戰鬥發
Sai lầm	失误
cỏ dại	捭
rửa sạch	漱
đơn âm	音位
dịch bệnh	症
Thắng cảnh	景區
Truy tố	起訴
thứ hai	秒
thực hiện	执行
nhu la	之類
nô lệ	奴
cuộc xung đột	衝突
Đối với	所為
chịu	承担
Bị thương	受傷
lo	擔心
Tòa nhà chính phủ Đài Loan	台灣總督府
động lực học	动力学
nhiệt đới	熱帶
Đặc điểm	特質
Quảng châu	广州
đảo Lantau	大嶼山
sự tự tin	自信
Xe cho	車為
Thành phố Ôn Châu	温州市
Chơi	上場
Nhặt lên	捡
Bao vây	莶
nghĩ	心思
Caesar	凱撒
tình trạng	況
Quốc gia	国
Trong trận chiến	戰中
Ya	犱
bắn hạ	擊落
Bôn mươi tam	四十八
tê liệt	痺
Nghiêm nghị	艔
Không còn nữa	不了
cảm giác xấu hổ	詬
Lần đầu tiên	首度
rắc rối	恓
từ ngữ	字
Độ ẩm	水分
ngọc bích	玉
Câu hỏi	搉
Trường học của chúng tôi	本校
ngân hà	银河
Xa Xăm	遠遠
Được công nhận	認可
Atayal	泰雅族
Hợp lý	正当
Quyền bầu cử	选举权
Consortium	财团
Philadelphia	費城
Bài hát nhịp	咏
lòng chảo	盆地
Sẽ vào	將進
Thuê	雇
Đường Hennessy	軒尼詩道
Tiền thuê đất	地租
đổi	交换
nhu cầu khẩn cấp	急需
Viết	譔
Tựa đề bài hát	題曲
Xe đẩy	无轨电车
Xâm lược	侵占
lòng nhân từ	仁
Và khác	與其他
Hiện tại	現於
Phân biệt đối xử	歧视
Hongqiao	虹桥
Oshima	大島
Nhà kho	舍
Kiểu mới	新型
gia đình	家族
chỉ huy	指挥官
suy nghĩ	以为
Phát sóng thí điểm	試播
Nổ	炸藥
Rượu	瞖
Sau	後經
Tolle	托勒
Người phát ngôn	代言人
Xoắn	拈
sản phẩm	产品
Đáng giá	值得一
quay lại	回去
rau	蔬
Xiao	譕
Nhân viên bán hàng	務員
đậu đũa	豇
Giải trình tự	测序
điếu văn	誄
hợp lưu	合流
Jincha	晋察
Congo	刚果
Hậu duệ	後裔
Trẻ mới biết đi	幼童
Tỉnh	知县
căng thẳng	紧张
Phân loại	分級
Xing	鍉
Urumqi	乌鲁木齐
thâm nhập	穿透
nhanh nhẹn	敏捷
Dọc theo dòng	沿線
vô hình	非物质
Hiển thị cho	展為
Ghim	蠲
Đồng ý	赞成
Xiao	萧
Tài nguyên Trung Quốc	華潤
xuyên qua	亙
Đại diện đảng	党代表
Shao	錞
Lấy hai	以兩
Roche	罗氏
Sau cuộc họp	會後
ngữ pháp	語法
Và sản xuất	而產
Bình luận	解说
Etane	乙烷
tin	信奉
Pewter	镴
Boson	玻色子
Ban chính trị	政治部
Chất lượng	素质
vách đá	悬崖
Cá chép bạc	鰱
mô hình	型号
mảnh dẻ	轻微
Tang	漙
Penglai	蓬莱
Bí danh	别名
giày	鞋
mạng lưới	網
Sự hỗn loạn	亂
Syme	赛姆
Wengcheng	瓮城
Lacy	拉齐
lỗi	误差
thành viên	籍
nghệ thuật	美術
nghĩa vụ	义务
bất mãn	怏
sốc	休克
Doanh nghiệp	企業號
Súp	汤
Khu kinh tế	经济区
Đã trang bị	配备
Bữa tiệc	該黨
nguyên nhân lớn	大业
Piros	皮洛士
Chính thống giáo	東正教
inch	英寸
Dài và hẹp	狹長
Hát	燇
Việc làm tại Nhật	日治時期
Guo Lun	國倫
xúc xắc	骰
Trên danh sách	上榜
Pháp	法國
Thời gian	計時
gấp gáp	滂
tôn giáo	宗教
đừng	彆
Faye Wong	王菲
thế giới	人间
Mở	號開
Quận Jin	區進
Hội nhập	体化
Bering	白令
Phạm vi	射程
Đôi khi	時會
Khuyến khích	勵
World Expo	世博会
say	酣
Karma và	業與
Haig	黑格
hố	窿
Phá vỡ	掼
cái cổ	脰
Yêu và quý	洛夫
trò chơi	比賽
gâu gâu	魆
Người này	此人
thiếu hụt hoặc khuyết	亏
Yu	珇
Hố	擊坑
Bashu	巴蜀
cuộc bầu cử	选举
Xông khói	噝
Còi	囁
Hobbs	霍布斯
Linton	林頓
sự trả thù	报仇
Đột biến	变异
yêu thích	喜爱
Xie	箇
Xây dựng	营造
Mỹ nhân ngư	人魚
Kaihuang	开皇
ánh sáng	灯光
Chỉ có	僅為
Cái này sẽ	將這
Saruman	薩魯曼
Lời bài hát	作词
thành lập	既定
dược phẩm	葯
Thiên đường	天道
sức mạnh đó	權力
Nếu	若
Nếp	楕
Bồn rửa	沉没
Chiều dài cơ thể	體長
Ero	埃罗
vượt qua	叉
De	徣
Shaw	肖
chạm	觸
cắt	斬
Âm	媠
Tham vấn	磋商
Sách giữa	中书
máy bay trinh sát	偵察機
Fu	傅
tương tự	同一
Nguyên mẫu	雏形
Đại sảnh	大雄宝殿
Tiêu chuẩn mô hình	模標
Đầu với	頭與
thẻ đỏ	紅牌
cấp trên	優越
sự thay đổi	移
xe hơi	轿车
Thính giác	听觉
Xuzhou	徐州
Za	劄
hoạt hình	动画片
Làm gián đoạn	中斷
Di cư	徙
Dưới chân	脚下
Núi	斯山脈
Nổi	浮游
Ngắn	肖特
Saka	坂
Sư đoàn bộ binh	步兵师
vỏ sò	殻
Trung Quốc Quốc dân Đảng	中國國民黨
Phù hợp với	适合
tích phân	積分
Thời gian giữa	中時
in	打印
Toei	都營
Bette	贝特
Khó xử	蹔
Tolkien	托爾金
Thiết bị	器
nói chuyện phiếm	嚅
Kiểm tra	檢
Nếu	若果
Khu vực thành thị	城區
Ngoại vi	外围
Giữ	攬
Tòa tháp	塔台
Lan tràn	传播
Còn lại	剩餘
Kai	凯
Rùa	鳈
đột ngột	驀
vu khống	譖
E	娥
Gia công phần mềm	外包
Hồi phục	康复
Rửa	涤
Liên kết	缔
Hải quân Đế quốc	帝國海軍
Và không có gì	與無
Buổi tiệc	會黨
tàn tích	廢墟
trừu tượng	沕
Bộ hướng dẫn	指令集
Wat	笏
Giải bóng chày Major League	美國職棒大聯盟
vết trầy	搔
Đảm nhận	接任
Để yên	遑
St	斯特
Thoát đến	逃到
Nói cách khác	換言之
Kai	塏
Sloven	斯洛文
Jiu	玖
Đa dạng	各種
Ngân hàng HSBC	匯豐
mẹ	母親
Tổng lanh sự quan	总领事馆
Bị bỏ rơi	废弃
Các đơn vị hành chính	行政区划
Choáng	愰
Tony	托尼
Athens	雅典
Thiều Sơn	韶山
chim ưng	鷲
Ngôi sao	斯塔
Đằng sau hậu trường	幕后
họng	咽喉
Đường tiêu hóa	消化道
Bệnh sốt rét	疴
Mặt tiền	前茅
Tám người bất tử	八仙
Xúi giục	誘導
Sushi	蘇軾
canh	翼
Guanzhong	关中
thịt	肉食
Tiệm thuốc	藥學
Kháng cự	抵御
polonium	钋
Giờ thành phố	城時
các nước châu Âu	歐洲國
Phong sơn	凤山
cảm giác	轰动
Than khóc	啎
công cộng	公
quan tài	棺材
Calais	加来
Nước Anh	不列顛
Beretta	貝瑞塔
Phải lòng ai đó	相戀
Yên tĩnh	蚗
Sabah	莎白
tuyệt đối	絕對
Côn Sơn	昆山
Stan	斯坦
giáo dục thể chất	體育
dính vào	扦
thiêu đốt	燋
đồng minh	盟友
nhảy vọt	踊
Li	俥
Và một	並有
Cũ	耄
Shunde	顺德
Được dịch là	译为
Dace	貮
bỏ phiếu	选票
ngẫu nhiên	随意
Qian	鞪
phía sau	落後
Sẽ là	將為
Liệt kê	列举
Chiếm lấy	俘獲
Kết thúc	告一
Mỗi chia sẻ	每股
hoặc là	或
trượt tuyết	滑雪
bất động sản	财物
Nhìn qua	眺
Anh ấy đã thắng	他獲
Niềm nở	用心
Receptor	受体
suy nghĩ	認爲
Chính quyền liên bang	联邦政府
tích cực	積極
Say	醺
Yell	吔
Lớp	成績
Sting	蛰
Làm sao	岂
phức tạp	复
Dần dần	日漸
Trở thành	转为
Thức tỉnh	覺醒
Giấc ngũ ngắn	瞹
bơi lội	泳
Pavilion	舘
Tiêu cực	負面
heo rừng	豭
ngôi đền	寺
Jue	珒
Tấn	勛
Rang	凘
tại sao	何以
lúa mì	麥
Trang điểm	补
Trình độ cao	高層
Zhen	甄
Hu	扈
bờm	髦
Paris	巴黎
Tiếng Anh	英文
tưởng tượng	虛構
bìa sách	袟
Mu Gong	穆公
Đầu triều đại nhà Đường	唐初
Tirana	地拉那
Tâm sự	赪
Po	埔
Madison	麦迪逊
Buồn phiền	敆
Pong	乓
Tháng Mười	十月
Nhân Viên	員工
chiến tranh Việt Nam	越戰
Trang Chủ	家為
Cá mèo	鯰科
người cầu nguyện	祈祷
Mát mẻ	槚
dụng cụ	儀器
Nicaragua	尼加拉瓜
Mo	靺
Đổi tên	更名
Thể rắn	固态
chấn thương	创伤
Xiumoping	秀茂坪
Thơ	诗歌
Gundam	機動戰士
số lẻ	奇数
Dịch vụ bí mật	特勤
Ờ	珥
Đứng với	站與
Động cơ	電機
Nói chung là	一般以
nhập khẩu	進口
khu vực	地域
co lại	收缩
Chế độ quân chủ	君主制
tạm ngừng	頓
Renxu	壬戌
rung chuyển	撼
Tanzania	坦桑尼亚
Hamton	咸頓
ngà voi	象牙
Sha	莎
Ruth	魯斯
Vũ Hán	武汉
Chương trình	纲领
Thành phố Cát Lâm	吉林市
Qinglong	青龙
Trường bình thường	師範學
Chất kiềm	碱
gọi	呼籲
đội trưởng	舰长
Đoạn văn này	這段
Yu	庾
nhu cầu	需
chũm chọe	鈸
Tussah	枟
trưởng phòng	首席
Đang chơi	演奏
Quỷ lùn	絀
xương bánh chè	膑
kẹp tóc	簪
kỳ nhông	蠑
mùa xuân	春
Herri	赫里
Haifa	海法
Quyền lợi chính trị	政治权利
Thành phố Quế Lâm	桂林市
Qua mạng	過網
thủy sinh	水生
liti	锂
Bách khoa	理工學院
Barberry	小檗
Đáp lại	答覆
Nguồn TP.	源市
Theo	隨之
Tỉnh Shizuoka	靜岡縣
Nhà thờ Công giáo	天主教堂
Gặp	接轨
Căn bản	字根
ban nhạc	帶
người đi rừng	山人
Đối với Đài Loan	為臺
đồi núi	希尔
Wu	吴
Tấn	荗
Leby	莱比
Changde	常德
trở về	返
Được	則獲
Hàn Quốc	韓國
nghiêm trọng	認真
Jiao	蝭
Tần	芩
thay thế	替身
Erke	尔克
Zhu	硃
sớm	早日
Shu	扲
Gầm	吼
Strata	地層
Ba mươi ngàn	三万
Cửa hàng	貯
phối hợp	統合
Ô long	烏龍
chó sói	爾夫
phần phía sau	後部
Chuyến thăm	出访
hệ số	因素
Cảnh	場景
Nhận vào	入院
Đồng hồ	鐘錶
Người giám hộ	护法
Cây thông	阿伯
Cử đi	遣使
Geneva	日内瓦
Kho	仓库
Baden Wurttemberg	巴登符腾堡
Orifice	竅
đã học	博学
Bên Anh	英方
Yi	乸
cũng không	也沒
quý ngài	长官
Cùng với	连同
Không lớn	大不
Nan Ming	南明
quan tài bên ngoài	槨
phẩm giá	尊嚴
Rời văn phòng	离任
ổ cắm	插座
Mo	茉
tủ quần áo	圂
sao Kim	金星
ắc quy	电池
Ieyasu	家康
Đưa vào	普頓
làm	作品
sự phỉ báng	誹謗
Người ta nói rằng	據說
Cho xe	為車
tứ diện	四面体
gốc	渊源
Bách khoa	理工学院
Quân đội phương Tây	西軍
Chi	姖
Nhận thức	認知
La Hay	海牙
Buồn phiền	惿
Sui	綏
Họ Pteridaceae	蕨科
máng	澰
Bầu trời sao	天星
Yan	焱
Thúc giục	加速
Và hơn thế nữa	並且於
Người thay thế	替补
Ji	嵇
osmium	鋨
kết thúc	過度
hồi phục	復原
Qi	俙
Chảy qua	流经
Quỹ đạo	眶
Di sản	遺留
Lễ	禮
Kirin	西里尔
Li	荔
cống	浍
Tại thời điểm đó	那時
Thorpe	索普
người chơi	播放器
Đi bộ	躑
Sông hồng	红河
Lan	斕
không thấm nước	防水
du lịch	旅游
Thượng nguồn	上游
Phía trong	內
Song Jun	宋军
Chiến trường	战地
Mang	隨身
Bảo hiểm	保险
cuộc thi	競賽
Kyle	凯尔
nguội đi	冷却
Chúng tôi là	們在
Quân đội Nga	俄軍
Bàn luận	磋
Yi	弳
Shiye	什叶
tỷ lệ	比例
Lá bách hợp	复叶
Thời gian	時光
Sổ da	皮書
Dựa vào	倚
xương chậu	骨盆
Đàm phán	協商
Có hiệu lực	生效
sinology	漢學
triệu chứng	症状
lên án	譴責
biến mất	消失
nhân chứng	目睹
đính kèm	掗
Làm tiêu hết	掃蕩
Palestine	巴勒斯坦
tà ác	噁
trò chơi	遊戲
đục đẽo	鏨
công viên	公园
nệm	褥
Đội trưởng	都尉
Bướng bỉnh	鋷
nắm chặt	握
kéo lên	揠
Trạm cơ sở	基站
Đi xuyên qua	历经
Tàn dư	殘餘
thời gian này	本次
Hạ gục	淘汰賽
không chỉ	不僅
xuyên lục địa	洲际
Wei	崄
Giám đốc	管理者
Vui mừng	逍遥
Neo	尼奧
Yi	乂
Chia thành	分为
ngay thẳng	婞
ống	筦
Giữa dòng và hạ lưu	中下游
Tên	姓名
Yi	佂
theo đuổi	追求
lực lượng lao động	劳动力
Nhân viên bảo vệ	保安
Người thừa kế	继承人
Yêu cầu	自稱
Cho đến nay	至此
ý nghĩa	意義
Cả hai	雙雙
Cha và con trai	父子
Nhà thờ lớn	座堂
qua đêm	通宵
Ying	郢
mùi thịt cừu	羶
Bắc	之北
Lượt xem	為觀
Kết hợp nút	賽結
nước Thái Lan	泰国
Huân	桓
Người theo dõi	随者
Trả	丿
hội nghị Quốc gia	國國會
Na	纳
Giám đốc	所长
thị trường chứng khoán	股市
lòng	肚
gói bọc trong vải	袱
nâng cao	募集
trước	前
Vu khống	诐
dị ứng	過敏
Nong	莕
Chu	躝
Cho đã nói	為輻
Thư kí của giám đốc	布政司
Khí hậu gió mùa	季风气候
Yi	燚
Người Hán	漢人
gương	鏡
Vì điều đó	對該
cho anh ta	對他
Chính phủ lâm thời	临时政府
ám chỉ	典故
Ganda	干达
Như thể	俨
cho	为
đánh bắt cá	钓鱼
Tắt	對開
Đăng quang	加冕
đổ đầy	餡
Bực bội	怌
Tia laze	雷射
Và	及第
Nền tảng đảo	島式月台
thánh	圣人
sang trọng	豪华
thư mục	夹
Thiết kế	的設
Weiss	韋斯
cánh đồng	場
thông điệp	訊息
Stanford	斯坦福
Meng	孟
Lưỡng cư	兩棲
Louis	路易
nhập khẩu và xuất khẩu	进出口
Tế Nam	暨南
kịch hóa	躗
niêm phong	海豹
Nhiều lần	反覆
tỉnh	省份
rượu	酿
Hub	中樞
bảo vệ	镇守
kiềm chế	羁
Huân Công	桓公
Kiêm nhiệm	兼管
đêm	夜晚
Bánh mì nướng	土司
Tát	旹
Mao Liqiu	毛里求
nhạy cảm	敏感
bụi rậm	灌木丛
cản trở	碍
Sinh viên đại học	大學學
Âm	燛
chuyến đi	旅
trong những năm gần đây	近年
Đồng hành	伴随
Lên mạng	上網
Liren	利人
nguyền rủa	咒
Thu nhập bình quân đầu người	人均收入
heo vòi	貘
Song Ziwen	宋子文
thừa	赘
Xem	详见
Không thay đổi	恒定
Người thừa kế	继承者
Bảy ngày	七日
Danh pháp	名則
sửa	修复
di chuyển	搬遷
tiếng Nhật	日文
Đảm nhận	承接
Ủy ban	委員會
bốn mươi lăm	四十五
Trung tâm phân phối	集散地
Aoyama	青山
Tôi	嚲
thuốc nhuộm	染料
Đổi	匯處
may mắn	幸运
Dân du mục	游牧民族
kỷ luật	紀
Tệp điểm	點檔
Dành riêng cho	獻給
Ở đằng trước	眼前
nền tảng	基石
Nhà cách mạng	革命者
Trung đông	中东
Khánh thành	創刊
Treo Seng	恆生
Yongtai	永泰
Buổi họp thường niên	年會
Bài hát pop	流行歌曲
Vận chuyển nước	漕运
cây bút	柙
Thành phố New York	紐約市
trong	之内
Chọn	拣
Peng	芃
Và dài	與長
Băng video	錄影帶
kỹ thuật số	數字
những bông hoa	花卉
Lợi ích	受益
dược phẩm	藥
Đến để gọi	來稱
cua móng ngựa	鲎
Sway	迨
Hét lên	啚
Cánh cổng	栅
Bóng chày chuyên nghiệp Trung Quốc	中華職棒
rừng	林
Lý tưởng	伊德
cưỡi ngựa	骑马
Súng	鯀
quái thú	獸
Nương náu	避難
Morpholine	啉
Địa chỉ hiện tại	現址
Tiangong	天宫
Đã nói là	說為
cho	供
mức cao mới	新高
kênh	信道
giải phóng	释
với	仝
chảy máu mũi	衄
Cheng	程
Thành phố thiên tân	天津市
Âm mưu	圖謀
Đã đặt hàng	奉命
Alberta	亞省
đảo	島嶼
Hu	烶
Kiểm tra	稽
Ngày 25	二十五日
Ao	岙
Wa	娲
Nhà ga xe lửa	鐵路車站
Ở châu Âu	在歐
Dòng đầy đủ	全線
Làm sao	奈何
tập quán	風俗
cửa	門
xoay	轉
đào sâu	深化
Vật trưng bày	展品
Ảnh bìa	旗帜
cá mập	鮫
Con dấu cổ	古印
Tong	榼
Diễn dịch	诠
Vòm miệng	齶
chính thức	官方
ma cà rồng	吸血鬼
phần thưởng	獎勵
hoa sen	蓮
cao	嵬
Kilomét vuông	平方公里
